cms_certification_number,num_chows,is_chow,chow_date_1,chow_date_2,chow_date_3,chow_date_4,chow_date_5,chow_date_6,chow_date_7,chow_date_8,chow_date_9
015009,0,0,,,,,,,,,
015010,0,0,,,,,,,,,
015012,0,0,,,,,,,,,
015014,0,0,,,,,,,,,
015015,0,0,,,,,,,,,
015016,0,0,,,,,,,,,
015019,2,1,2021-10-01,2024-03-01,,,,,,,
015023,0,0,,,,,,,,,
015024,1,1,2021-11-08,,,,,,,,
015027,0,0,,,,,,,,,
015028,3,1,2019-04-01,2021-10-01,2024-03-01,,,,,,
015031,0,0,,,,,,,,,
015032,2,1,2021-11-19,2022-04-04,,,,,,,
015034,0,0,,,,,,,,,
015035,0,0,,,,,,,,,
015037,2,1,2017-12-01,2019-12-16,,,,,,,
015040,2,1,2021-11-19,2022-04-04,,,,,,,
015042,0,0,,,,,,,,,
015043,0,0,,,,,,,,,
015044,0,0,,,,,,,,,
015045,0,0,,,,,,,,,
015047,0,0,,,,,,,,,
015048,1,1,2023-03-24,,,,,,,,
015049,0,0,,,,,,,,,
015050,2,1,2022-02-14,2022-05-01,,,,,,,
015060,1,1,2022-01-27,,,,,,,,
015063,2,1,2021-11-19,2022-04-01,,,,,,,
015065,0,0,,,,,,,,,
015066,0,0,,,,,,,,,
015067,2,1,2019-04-01,2024-03-01,,,,,,,
015071,1,1,2022-10-01,,,,,,,,
015073,0,0,,,,,,,,,
015075,2,1,2020-01-01,2021-01-01,,,,,,,
015083,0,0,,,,,,,,,
015084,3,1,2017-02-21,2021-11-19,2022-04-04,,,,,,
015089,0,0,,,,,,,,,
015091,0,0,,,,,,,,,
015097,0,0,,,,,,,,,
015098,0,0,,,,,,,,,
015100,0,0,,,,,,,,,
015101,0,0,,,,,,,,,
015103,0,0,,,,,,,,,
015104,1,1,2022-07-01,,,,,,,,
015109,0,0,,,,,,,,,
015111,2,1,2021-11-19,2022-04-04,,,,,,,
015112,0,0,,,,,,,,,
015113,2,1,2019-04-01,2024-03-01,,,,,,,
015114,1,1,2018-05-18,,,,,,,,
015115,1,1,2017-08-31,,,,,,,,
015116,1,1,2018-05-08,,,,,,,,
015117,0,0,,,,,,,,,
015119,3,1,2017-12-01,2019-12-16,2023-08-25,,,,,,
015120,0,0,,,,,,,,,
015121,0,0,,,,,,,,,
015123,0,0,,,,,,,,,
015126,0,0,,,,,,,,,
015127,3,1,2021-11-19,2022-04-04,2023-03-01,,,,,,
015128,0,0,,,,,,,,,
015129,0,0,,,,,,,,,
015132,2,1,2021-11-19,2022-04-04,,,,,,,
015133,2,1,2019-04-01,2024-03-01,,,,,,,
015134,0,0,,,,,,,,,
015136,1,1,2023-03-24,,,,,,,,
015137,1,1,2022-05-01,,,,,,,,
015138,0,0,,,,,,,,,
015139,1,1,2019-09-30,,,,,,,,
015141,0,0,,,,,,,,,
015142,0,0,,,,,,,,,
015143,1,1,2019-01-01,,,,,,,,
015144,4,1,2018-05-01,2021-09-15,2021-10-25,2023-08-02,,,,,
015145,2,1,2021-11-19,2022-04-04,,,,,,,
015147,2,1,2019-04-01,2024-03-01,,,,,,,
015148,2,1,2021-11-19,2022-04-04,,,,,,,
015149,0,0,,,,,,,,,
015151,3,1,2018-09-01,2021-05-01,2023-06-20,,,,,,
015152,1,1,2024-07-01,,,,,,,,
015153,0,0,,,,,,,,,
015155,0,0,,,,,,,,,
015156,0,0,,,,,,,,,
015157,1,1,2023-03-24,,,,,,,,
015158,1,1,2022-05-13,,,,,,,,
015159,2,1,2021-11-19,2022-04-04,,,,,,,
015160,0,0,,,,,,,,,
015162,0,0,,,,,,,,,
015163,0,0,,,,,,,,,
015164,3,1,2018-04-01,2019-12-16,2023-08-25,,,,,,
015166,0,0,,,,,,,,,
015167,0,0,,,,,,,,,
015169,0,0,,,,,,,,,
015171,1,1,2018-04-30,,,,,,,,
015174,0,0,,,,,,,,,
015176,0,0,,,,,,,,,
015177,0,0,,,,,,,,,
015179,0,0,,,,,,,,,
015180,1,1,2023-11-20,,,,,,,,
015182,0,0,,,,,,,,,
015183,0,0,,,,,,,,,
015184,1,1,2022-05-01,,,,,,,,
015186,0,0,,,,,,,,,
015187,0,0,,,,,,,,,
015188,0,0,,,,,,,,,
015189,2,1,2021-11-19,2022-04-04,,,,,,,
015191,0,0,,,,,,,,,
015192,0,0,,,,,,,,,
015193,0,0,,,,,,,,,
015194,0,0,,,,,,,,,
015195,0,0,,,,,,,,,
015196,2,1,2021-11-19,2022-04-04,,,,,,,
015197,0,0,,,,,,,,,
015199,0,0,,,,,,,,,
015201,0,0,,,,,,,,,
015202,0,0,,,,,,,,,
015203,0,0,,,,,,,,,
015204,0,0,,,,,,,,,
015206,1,1,2023-03-24,,,,,,,,
015207,0,0,,,,,,,,,
015208,0,0,,,,,,,,,
015209,2,1,2021-11-19,2022-04-04,,,,,,,
015210,0,0,,,,,,,,,
015211,0,0,,,,,,,,,
015212,1,1,2021-05-21,,,,,,,,
015213,1,1,2019-10-20,,,,,,,,
015214,0,0,,,,,,,,,
015217,0,0,,,,,,,,,
015220,1,1,2020-05-01,,,,,,,,
015221,0,0,,,,,,,,,
015222,1,1,2017-08-30,,,,,,,,
015223,3,1,2021-11-19,2022-04-04,2023-03-01,,,,,,
015225,1,1,2018-07-01,,,,,,,,
015227,0,0,,,,,,,,,
015228,3,1,2017-12-01,2019-12-16,2023-08-25,,,,,,
015303,3,1,2017-12-01,2019-12-16,2023-08-25,,,,,,
015315,0,0,,,,,,,,,
015321,0,0,,,,,,,,,
015322,0,0,,,,,,,,,
015326,0,0,,,,,,,,,
015331,1,1,2022-10-01,,,,,,,,
015336,0,0,,,,,,,,,
015369,0,0,,,,,,,,,
015371,1,1,2019-01-01,,,,,,,,
015372,1,1,2018-05-01,,,,,,,,
015373,0,0,,,,,,,,,
015374,1,1,2024-10-01,,,,,,,,
015375,0,0,,,,,,,,,
015376,2,1,2021-11-19,2022-04-04,,,,,,,
015378,0,0,,,,,,,,,
015379,0,0,,,,,,,,,
015381,1,1,2017-05-01,,,,,,,,
015382,2,1,2021-11-19,2023-03-01,,,,,,,
015383,1,1,2023-03-24,,,,,,,,
015386,1,1,2023-03-24,,,,,,,,
015388,0,0,,,,,,,,,
015390,1,1,2021-07-01,,,,,,,,
015391,0,0,,,,,,,,,
015392,2,1,2019-04-01,2024-03-01,,,,,,,
015393,0,0,,,,,,,,,
015396,1,1,2022-05-13,,,,,,,,
015397,2,1,2021-11-19,2022-04-04,,,,,,,
015398,0,0,,,,,,,,,
015400,0,0,,,,,,,,,
015402,0,0,,,,,,,,,
015403,0,0,,,,,,,,,
015404,2,1,2021-11-19,2022-04-04,,,,,,,
015406,1,1,2024-11-15,,,,,,,,
015407,0,0,,,,,,,,,
015408,0,0,,,,,,,,,
015411,0,0,,,,,,,,,
015413,0,0,,,,,,,,,
015414,0,0,,,,,,,,,
015415,0,0,,,,,,,,,
015416,0,0,,,,,,,,,
015417,1,1,2022-08-04,,,,,,,,
015419,2,1,2021-11-19,2022-04-04,,,,,,,
015420,0,0,,,,,,,,,
015422,0,0,,,,,,,,,
015423,0,0,,,,,,,,,
015424,0,0,,,,,,,,,
015425,0,0,,,,,,,,,
015426,0,0,,,,,,,,,
015429,1,1,2017-01-28,,,,,,,,
015431,1,1,2019-09-30,,,,,,,,
015433,3,1,2023-08-23,2023-10-31,2023-11-17,,,,,,
015434,3,1,2021-11-19,2022-04-04,2023-03-01,,,,,,
015435,0,0,,,,,,,,,
015436,0,0,,,,,,,,,
015437,1,1,2023-03-24,,,,,,,,
015440,0,0,,,,,,,,,
015442,0,0,,,,,,,,,
015443,0,0,,,,,,,,,
015445,0,0,,,,,,,,,
015446,0,0,,,,,,,,,
015447,3,1,2017-12-01,2019-12-16,2023-08-25,,,,,,
015448,0,0,,,,,,,,,
015450,0,0,,,,,,,,,
015451,0,0,,,,,,,,,
015452,1,1,2022-11-09,,,,,,,,
015453,0,0,,,,,,,,,
015454,0,0,,,,,,,,,
015455,2,1,2018-06-01,2021-10-19,,,,,,,
015456,0,0,,,,,,,,,
015458,1,1,2021-04-06,,,,,,,,
015459,1,1,2023-02-10,,,,,,,,
015460,1,1,2017-03-20,,,,,,,,
015461,0,0,,,,,,,,,
015463,2,1,2018-11-06,2022-10-27,,,,,,,
015464,0,0,,,,,,,,,
015465,0,0,,,,,,,,,
015467,1,1,2023-03-20,,,,,,,,
015468,0,0,,,,,,,,,
015469,1,1,2019-12-16,,,,,,,,
025010,0,0,,,,,,,,,
025015,0,0,,,,,,,,,
025018,0,0,,,,,,,,,
025019,0,0,,,,,,,,,
025020,0,0,,,,,,,,,
025024,0,0,,,,,,,,,
025025,2,1,2024-05-10,2024-08-01,,,,,,,
025027,0,0,,,,,,,,,
025032,0,0,,,,,,,,,
025034,0,0,,,,,,,,,
025035,0,0,,,,,,,,,
025036,0,0,,,,,,,,,
025038,1,1,2019-01-01,,,,,,,,
025039,1,1,2019-01-01,,,,,,,,
035003,0,0,,,,,,,,,
035004,0,0,,,,,,,,,
035014,0,0,,,,,,,,,
035059,0,0,,,,,,,,,
035062,0,0,,,,,,,,,
035064,0,0,,,,,,,,,
035068,1,1,2017-06-13,,,,,,,,
035070,0,0,,,,,,,,,
035071,1,1,2019-08-14,,,,,,,,
035072,1,1,2019-02-28,,,,,,,,
035073,1,1,2023-02-01,,,,,,,,
035074,0,0,,,,,,,,,
035076,0,0,,,,,,,,,
035083,0,0,,,,,,,,,
035084,0,0,,,,,,,,,
035085,1,1,2019-07-01,,,,,,,,
035086,1,1,2017-11-01,,,,,,,,
035087,0,0,,,,,,,,,
035088,0,0,,,,,,,,,
035090,3,1,2017-03-06,2018-12-31,2020-01-01,,,,,,
035091,0,0,,,,,,,,,
035092,0,0,,,,,,,,,
035093,0,0,,,,,,,,,
035094,1,1,2019-07-01,,,,,,,,
035095,0,0,,,,,,,,,
035096,1,1,2020-03-01,,,,,,,,
035097,1,1,2017-02-28,,,,,,,,
035099,2,1,2018-08-17,2021-11-01,,,,,,,
035100,0,0,,,,,,,,,
035101,0,0,,,,,,,,,
035103,0,0,,,,,,,,,
035105,0,0,,,,,,,,,
035106,1,1,2020-04-20,,,,,,,,
035107,0,0,,,,,,,,,
035110,0,0,,,,,,,,,
035111,0,0,,,,,,,,,
035112,1,1,2023-09-01,,,,,,,,
035114,0,0,,,,,,,,,
035116,0,0,,,,,,,,,
035117,0,0,,,,,,,,,
035118,0,0,,,,,,,,,
035120,0,0,,,,,,,,,
035121,1,1,2022-06-14,,,,,,,,
035125,2,1,2023-03-01,2024-04-15,,,,,,,
035126,0,0,,,,,,,,,
035127,1,1,2022-06-01,,,,,,,,
035130,0,0,,,,,,,,,
035131,0,0,,,,,,,,,
035132,0,0,,,,,,,,,
035133,0,0,,,,,,,,,
035134,0,0,,,,,,,,,
035135,0,0,,,,,,,,,
035136,1,1,2021-01-28,,,,,,,,
035139,0,0,,,,,,,,,
035140,0,0,,,,,,,,,
035141,0,0,,,,,,,,,
035143,0,0,,,,,,,,,
035144,1,1,2018-01-31,,,,,,,,
035145,0,0,,,,,,,,,
035146,0,0,,,,,,,,,
035147,2,1,2022-05-01,2022-07-01,,,,,,,
035151,0,0,,,,,,,,,
035152,0,0,,,,,,,,,
035158,1,1,2019-01-01,,,,,,,,
035159,0,0,,,,,,,,,
035160,0,0,,,,,,,,,
035164,1,1,2017-06-13,,,,,,,,
035165,0,0,,,,,,,,,
035166,2,1,2019-04-01,2021-11-05,,,,,,,
035169,0,0,,,,,,,,,
035171,1,1,2019-02-28,,,,,,,,
035172,0,0,,,,,,,,,
035174,0,0,,,,,,,,,
035175,1,1,2022-06-01,,,,,,,,
035180,0,0,,,,,,,,,
035183,1,1,2019-02-28,,,,,,,,
035189,0,0,,,,,,,,,
035190,0,0,,,,,,,,,
035192,0,0,,,,,,,,,
035193,1,1,2017-03-01,,,,,,,,
035196,3,1,2018-11-01,2019-04-01,2023-09-01,,,,,,
035197,0,0,,,,,,,,,
035199,1,1,2017-03-06,,,,,,,,
035201,3,1,2017-03-06,2018-12-31,2020-01-01,,,,,,
035205,0,0,,,,,,,,,
035207,1,1,2017-03-01,,,,,,,,
035214,0,0,,,,,,,,,
035216,0,0,,,,,,,,,
035217,2,1,2018-02-01,2023-09-01,,,,,,,
035225,3,1,2018-11-01,2019-04-01,2023-09-01,,,,,,
035232,0,0,,,,,,,,,
035233,0,0,,,,,,,,,
035240,1,1,2017-06-01,,,,,,,,
035241,0,0,,,,,,,,,
035244,1,1,2019-01-01,,,,,,,,
035245,0,0,,,,,,,,,
035247,1,1,2023-03-01,,,,,,,,
035249,1,1,2017-02-28,,,,,,,,
035251,2,1,2019-09-16,2024-02-13,,,,,,,
035253,0,0,,,,,,,,,
035254,0,0,,,,,,,,,
035255,2,1,2023-03-01,2024-04-15,,,,,,,
035256,3,1,2018-04-04,2020-07-20,2020-07-31,,,,,,
035257,1,1,2024-01-01,,,,,,,,
035259,0,0,,,,,,,,,
035260,2,1,2021-12-28,2022-04-28,,,,,,,
035261,0,0,,,,,,,,,
035262,1,1,2017-02-28,,,,,,,,
035264,0,0,,,,,,,,,
035265,0,0,,,,,,,,,
035266,2,1,2018-07-01,2021-01-01,,,,,,,
035267,0,0,,,,,,,,,
035268,1,1,2021-01-01,,,,,,,,
035270,3,1,2018-11-01,2019-04-01,2023-09-01,,,,,,
035272,0,0,,,,,,,,,
035273,0,0,,,,,,,,,
035274,1,1,2019-03-08,,,,,,,,
035275,2,1,2019-09-01,2021-01-01,,,,,,,
035276,0,0,,,,,,,,,
035277,0,0,,,,,,,,,
035279,2,1,2021-12-28,2024-11-20,,,,,,,
035280,1,1,2022-01-01,,,,,,,,
035281,0,0,,,,,,,,,
035282,1,1,2022-01-01,,,,,,,,
035283,1,1,2022-01-01,,,,,,,,
035284,0,0,,,,,,,,,
035285,1,1,2024-04-10,,,,,,,,
035286,1,1,2022-01-01,,,,,,,,
035287,2,1,2018-11-16,2023-12-01,,,,,,,
035288,0,0,,,,,,,,,
035290,2,1,2017-07-07,2023-08-01,,,,,,,
035291,0,0,,,,,,,,,
035292,3,1,2019-05-01,2022-07-01,2023-01-01,,,,,,
035293,1,1,2018-06-01,,,,,,,,
035294,0,0,,,,,,,,,
035295,0,0,,,,,,,,,
035296,2,1,2020-02-14,2024-01-01,,,,,,,
035297,1,1,2019-08-01,,,,,,,,
035298,0,0,,,,,,,,,
035299,0,0,,,,,,,,,
035302,0,0,,,,,,,,,
035303,0,0,,,,,,,,,
045070,2,1,2020-12-14,2022-01-01,,,,,,,
045098,2,1,2019-01-23,2021-04-05,,,,,,,
045134,1,1,2019-11-20,,,,,,,,
045135,1,1,2019-11-20,,,,,,,,
045138,2,1,2020-12-14,2022-01-01,,,,,,,
045139,0,0,,,,,,,,,
045140,1,1,2019-11-20,,,,,,,,
045142,1,1,2022-03-31,,,,,,,,
045143,0,0,,,,,,,,,
045144,1,1,2018-01-01,,,,,,,,
045146,2,1,2019-01-23,2021-04-05,,,,,,,
045147,2,1,2020-07-01,2022-01-01,,,,,,,
045149,1,1,2020-07-01,,,,,,,,
045151,2,1,2019-01-01,2022-01-01,,,,,,,
045153,1,1,2024-05-01,,,,,,,,
045155,2,1,2019-09-01,2022-01-01,,,,,,,
045157,2,1,2020-07-01,2022-01-01,,,,,,,
045158,2,1,2019-07-01,2022-03-31,,,,,,,
045163,0,0,,,,,,,,,
045165,0,0,,,,,,,,,
045166,0,0,,,,,,,,,
045167,0,0,,,,,,,,,
045168,1,1,2024-12-12,,,,,,,,
045170,2,1,2019-03-01,2022-01-01,,,,,,,
045173,0,0,,,,,,,,,
045176,1,1,2022-07-01,,,,,,,,
045177,0,0,,,,,,,,,
045178,0,0,,,,,,,,,
045180,1,1,2019-11-20,,,,,,,,
045181,0,0,,,,,,,,,
045182,3,1,2020-12-30,2020-12-31,2022-01-01,,,,,,
045183,0,0,,,,,,,,,
045184,3,1,2020-07-01,2021-06-30,2024-08-01,,,,,,
045187,1,1,2022-01-01,,,,,,,,
045189,1,1,2022-03-31,,,,,,,,
045190,3,1,2022-08-01,2022-08-31,2023-08-31,,,,,,
045191,1,1,2019-01-01,,,,,,,,
045192,1,1,2022-03-31,,,,,,,,
045194,3,1,2018-01-01,2019-06-30,2022-01-01,,,,,,
045195,1,1,2019-11-20,,,,,,,,
045196,0,0,,,,,,,,,
045197,1,1,2022-03-31,,,,,,,,
045199,2,1,2020-07-01,2022-01-01,,,,,,,
045201,0,0,,,,,,,,,
045202,0,0,,,,,,,,,
045203,1,1,2019-11-20,,,,,,,,
045207,2,1,2019-09-01,2022-01-01,,,,,,,
045208,1,1,2024-12-12,,,,,,,,
045209,0,0,,,,,,,,,
045211,1,1,2023-03-31,,,,,,,,
045212,2,1,2019-01-23,2021-04-05,,,,,,,
045214,0,0,,,,,,,,,
045216,3,1,2022-01-14,2022-05-16,2022-08-15,,,,,,
045217,1,1,2021-01-01,,,,,,,,
045218,0,0,,,,,,,,,
045219,0,0,,,,,,,,,
045220,0,0,,,,,,,,,
045221,0,0,,,,,,,,,
045222,0,0,,,,,,,,,
045227,0,0,,,,,,,,,
045228,1,1,2018-11-01,,,,,,,,
045229,0,0,,,,,,,,,
045232,2,1,2019-01-23,2021-04-05,,,,,,,
045235,0,0,,,,,,,,,
045236,2,1,2019-09-01,2022-01-01,,,,,,,
045239,2,1,2020-07-01,2022-01-01,,,,,,,
045241,0,0,,,,,,,,,
045242,2,1,2018-07-01,2023-04-01,,,,,,,
045243,2,1,2019-09-01,2022-01-01,,,,,,,
045244,0,0,,,,,,,,,
045245,2,1,2019-09-01,2022-01-01,,,,,,,
045246,0,0,,,,,,,,,
045247,0,0,,,,,,,,,
045248,0,0,,,,,,,,,
045250,1,1,2019-01-01,,,,,,,,
045254,1,1,2022-06-01,,,,,,,,
045256,2,1,2019-09-01,2022-01-01,,,,,,,
045259,2,1,2019-01-23,2021-04-05,,,,,,,
045266,0,0,,,,,,,,,
045267,0,0,,,,,,,,,
045268,1,1,2023-01-16,,,,,,,,
045269,2,1,2020-06-15,2022-06-01,,,,,,,
045270,2,1,2019-09-01,2022-01-01,,,,,,,
045271,2,1,2018-04-09,2018-08-01,,,,,,,
045275,3,1,2018-10-01,2021-02-19,2022-03-31,,,,,,
045277,1,1,2023-03-31,,,,,,,,
045280,0,0,,,,,,,,,
045284,2,1,2019-09-01,2022-01-01,,,,,,,
045287,1,1,2017-01-01,,,,,,,,
045288,2,1,2017-06-07,2021-07-01,,,,,,,
045289,1,1,2024-12-12,,,,,,,,
045290,0,0,,,,,,,,,
045295,1,1,2018-07-01,,,,,,,,
045297,1,1,2018-11-01,,,,,,,,
045300,0,0,,,,,,,,,
045301,0,0,,,,,,,,,
045302,0,0,,,,,,,,,
045303,0,0,,,,,,,,,
045304,0,0,,,,,,,,,
045305,2,1,2020-07-01,2022-01-01,,,,,,,
045306,1,1,2021-08-16,,,,,,,,
045308,0,0,,,,,,,,,
045312,0,0,,,,,,,,,
045313,1,1,2018-07-01,,,,,,,,
045314,1,1,2018-02-01,,,,,,,,
045315,2,1,2018-11-01,2021-01-27,,,,,,,
045318,2,1,2021-10-27,2022-06-14,,,,,,,
045321,0,0,,,,,,,,,
045322,0,0,,,,,,,,,
045323,2,1,2018-07-01,2023-04-01,,,,,,,
045326,1,1,2018-07-01,,,,,,,,
045327,1,1,2017-01-01,,,,,,,,
045332,0,0,,,,,,,,,
045334,2,1,2019-01-23,2021-04-05,,,,,,,
045337,0,0,,,,,,,,,
045338,0,0,,,,,,,,,
045339,0,0,,,,,,,,,
045340,0,0,,,,,,,,,
045342,1,1,2022-06-01,,,,,,,,
045343,0,0,,,,,,,,,
045345,2,1,2019-01-23,2021-04-05,,,,,,,
045346,2,1,2018-09-01,2022-06-01,,,,,,,
045348,0,0,,,,,,,,,
045350,1,1,2022-07-01,,,,,,,,
045351,0,0,,,,,,,,,
045352,0,0,,,,,,,,,
045353,2,1,2020-10-01,2022-01-01,,,,,,,
045354,0,0,,,,,,,,,
045356,1,1,2018-06-01,,,,,,,,
045357,1,1,2022-03-31,,,,,,,,
045358,2,1,2019-01-01,2022-01-01,,,,,,,
045359,2,1,2019-01-23,2021-04-05,,,,,,,
045361,1,1,2023-01-16,,,,,,,,
045363,0,0,,,,,,,,,
045364,0,0,,,,,,,,,
045366,1,1,2018-11-01,,,,,,,,
045367,0,0,,,,,,,,,
045369,0,0,,,,,,,,,
045370,1,1,2020-09-15,,,,,,,,
045371,0,0,,,,,,,,,
045372,3,1,2019-01-23,2021-04-05,2023-01-01,,,,,,
045373,0,0,,,,,,,,,
045374,0,0,,,,,,,,,
045376,0,0,,,,,,,,,
045377,2,1,2019-02-10,2022-01-01,,,,,,,
045378,1,1,2018-06-01,,,,,,,,
045379,0,0,,,,,,,,,
045380,0,0,,,,,,,,,
045381,0,0,,,,,,,,,
045382,1,1,2018-01-01,,,,,,,,
045383,2,1,2021-04-01,2022-06-01,,,,,,,
045384,0,0,,,,,,,,,
045385,2,1,2019-01-23,2021-04-05,,,,,,,
045386,2,1,2022-01-14,2022-06-14,,,,,,,
045387,0,0,,,,,,,,,
045390,4,1,2018-01-01,2022-01-14,2022-06-14,2022-08-15,,,,,
045391,3,1,2022-06-14,2022-08-15,2023-01-01,,,,,,
045392,0,0,,,,,,,,,
045393,3,1,2022-01-14,2022-06-14,2022-08-15,,,,,,
045394,0,0,,,,,,,,,
045396,1,1,2022-01-01,,,,,,,,
045398,0,0,,,,,,,,,
045401,0,0,,,,,,,,,
045402,1,1,2020-09-15,,,,,,,,
045403,1,1,2018-07-25,,,,,,,,
045404,1,1,2022-06-01,,,,,,,,
045406,0,0,,,,,,,,,
045407,0,0,,,,,,,,,
045408,0,0,,,,,,,,,
045409,0,0,,,,,,,,,
045410,0,0,,,,,,,,,
045411,2,1,2022-01-01,2022-01-03,,,,,,,
045412,1,1,2022-08-15,,,,,,,,
045413,0,0,,,,,,,,,
045416,0,0,,,,,,,,,
045417,0,0,,,,,,,,,
045418,2,1,2022-06-01,2024-08-01,,,,,,,
045419,0,0,,,,,,,,,
045421,1,1,2018-07-01,,,,,,,,
045422,0,0,,,,,,,,,
045427,0,0,,,,,,,,,
045428,1,1,2019-04-09,,,,,,,,
045430,1,1,2022-03-31,,,,,,,,
045431,2,1,2018-02-01,2021-07-01,,,,,,,
045432,2,1,2017-06-07,2021-07-01,,,,,,,
045433,0,0,,,,,,,,,
045434,1,1,2025-04-01,,,,,,,,
045435,0,0,,,,,,,,,
045437,1,1,2018-07-25,,,,,,,,
045439,1,1,2018-11-01,,,,,,,,
045440,1,1,2018-11-01,,,,,,,,
045441,0,0,,,,,,,,,
045442,0,0,,,,,,,,,
045443,0,0,,,,,,,,,
045445,0,0,,,,,,,,,
045446,2,1,2019-01-23,2021-04-05,,,,,,,
045447,1,1,2018-01-01,,,,,,,,
045448,0,0,,,,,,,,,
045449,0,0,,,,,,,,,
045450,2,1,2019-01-23,2021-04-05,,,,,,,
045451,1,1,2022-03-31,,,,,,,,
045452,0,0,,,,,,,,,
045453,0,0,,,,,,,,,
045454,0,0,,,,,,,,,
045455,0,0,,,,,,,,,
045456,0,0,,,,,,,,,
045457,0,0,,,,,,,,,
045458,2,1,2020-06-26,2022-06-01,,,,,,,
045459,0,0,,,,,,,,,
045460,0,0,,,,,,,,,
045463,0,0,,,,,,,,,
045464,0,0,,,,,,,,,
045465,0,0,,,,,,,,,
045466,2,1,2018-06-02,2022-01-01,,,,,,,
045467,0,0,,,,,,,,,
045468,0,0,,,,,,,,,
045469,3,1,2020-04-01,2020-06-15,2022-06-01,,,,,,
045470,3,1,2020-04-01,2020-06-15,2022-06-01,,,,,,
045471,0,0,,,,,,,,,
045472,0,0,,,,,,,,,
045474,2,1,2022-01-14,2023-01-01,,,,,,,
045475,0,0,,,,,,,,,
045476,0,0,,,,,,,,,
045477,1,1,2023-08-01,,,,,,,,
045479,1,1,2024-03-01,,,,,,,,
055001,4,1,2017-01-15,2018-07-27,2021-11-05,2023-06-30,,,,,
055002,0,0,,,,,,,,,
055003,0,0,,,,,,,,,
055008,0,0,,,,,,,,,
055011,1,1,2022-04-18,,,,,,,,
055014,3,1,2018-06-29,2022-11-08,2023-02-01,,,,,,
055016,0,0,,,,,,,,,
055017,1,1,2017-06-30,,,,,,,,
055022,0,0,,,,,,,,,
055028,1,1,2021-11-01,,,,,,,,
055032,3,1,2019-04-01,2020-02-01,2024-03-01,,,,,,
055036,1,1,2023-01-01,,,,,,,,
055039,0,0,,,,,,,,,
055041,0,0,,,,,,,,,
055042,0,0,,,,,,,,,
055045,0,0,,,,,,,,,
055047,2,1,2019-05-17,2021-02-01,,,,,,,
055049,3,1,2020-12-31,2023-06-30,2024-04-15,,,,,,
055052,2,1,2019-01-01,2023-04-17,,,,,,,
055056,1,1,2019-01-01,,,,,,,,
055057,0,0,,,,,,,,,
055060,0,0,,,,,,,,,
055064,6,1,2017-01-15,2018-07-27,2019-08-08,2021-11-05,2023-06-30,2024-04-15,,,
055067,1,1,2017-11-09,,,,,,,,
055070,0,0,,,,,,,,,
055072,1,1,2017-03-01,,,,,,,,
055074,0,0,,,,,,,,,
055076,0,0,,,,,,,,,
055077,0,0,,,,,,,,,
055078,0,0,,,,,,,,,
055079,0,0,,,,,,,,,
055084,1,1,2023-05-25,,,,,,,,
055085,3,1,2020-12-31,2023-06-30,2024-04-15,,,,,,
055092,6,1,2017-01-15,2018-07-27,2019-10-01,2021-11-05,2023-06-30,2024-04-15,,,
055093,1,1,2017-09-01,,,,,,,,
055099,1,1,2019-02-06,,,,,,,,
055104,0,0,,,,,,,,,
055105,1,1,2017-11-20,,,,,,,,
055107,2,1,2018-01-01,2018-01-10,,,,,,,
055109,1,1,2019-02-06,,,,,,,,
055111,3,1,2019-04-01,2020-06-01,2024-03-01,,,,,,
