cms_certification_number,num_chows,first_seen_month,present_at_start,entered_after_start,bucket_0_count,bucket_1_count,bucket_2_count,bucket_3_count,bucket_4_count,bucket_5_count,bucket_6_count,chow_date_1,chow_magnitude_1,chow_method_1,chow_inconcl_1,chow_date_2,chow_magnitude_2,chow_method_2,chow_inconcl_2,chow_date_3,chow_magnitude_3,chow_method_3,chow_inconcl_3,chow_date_4,chow_magnitude_4,chow_method_4,chow_inconcl_4,chow_date_5,chow_magnitude_5,chow_method_5,chow_inconcl_5,chow_date_6,chow_magnitude_6,chow_method_6,chow_inconcl_6,chow_date_7,chow_magnitude_7,chow_method_7,chow_inconcl_7,chow_date_8,chow_magnitude_8,chow_method_8,chow_inconcl_8,chow_date_9,chow_magnitude_9,chow_method_9,chow_inconcl_9
005125,0,2016-10-31,True,False,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
005130,0,2019-05-31,False,True,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
015009,0,1969-09-30,True,False,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
015014,0,1999-07-31,True,False,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
015015,0,2002-08-31,True,False,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
015016,0,2015-10-31,True,False,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
015019,2,2015-02-28,True,False,0,3,0,0,0,0,0,2021-10-01,100.0,0.0,False,2024-03-01,100.0,0.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,
015023,0,1981-08-31,True,False,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
015024,1,2009-11-30,True,False,0,1,0,0,0,0,0,2021-11-08,100.0,0.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
015027,0,2002-08-31,True,False,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
