cms_certification_number,from_group,to_group,from_start,from_end,to_start,to_end,from_level,to_level,turnover_pct,overlap_pct,method,bucket_code,bucket_label,surname_keep_pct,surname_override,inconclusive,is_chow
015009,1,2,1969-09-01,1969-09-01,2012-01-25,2012-01-25,direct,direct,100.0,0.0,0,1,90–100,0.0,False,False,False
015012,1,2,1967-01-01,1967-01-01,2021-10-01,2021-10-01,direct,direct,100.0,0.0,0,1,90–100,100.0,True,False,False
015019,1,2,2015-02-02,2015-02-02,2016-01-01,2016-01-01,indirect,indirect,100.0,0.0,0,1,90–100,0.0,False,False,False
015019,2,3,2016-01-01,2016-01-01,2021-10-01,2021-10-01,indirect,indirect,100.0,0.0,0,1,90–100,0.0,False,False,True
015019,3,4,2021-10-01,2021-10-01,2024-03-01,2024-03-01,indirect,indirect,100.0,0.0,0,1,90–100,0.0,False,False,True
015024,1,2,2009-11-09,2009-11-09,2021-11-08,2021-11-08,direct,direct,100.0,0.0,0,1,90–100,0.0,False,False,True
015028,1,2,2009-02-15,2009-02-15,2012-12-01,2012-12-01,direct,indirect,100.0,0.0,0,1,90–100,8.3,False,False,False
015028,2,3,2012-12-01,2012-12-01,2015-02-02,2015-02-02,indirect,indirect,91.7,8.3,0,1,90–100,8.3,False,False,False
015028,3,4,2015-02-02,2015-02-02,2016-01-01,2016-01-01,indirect,indirect,100.0,0.0,0,1,90–100,0.0,False,False,False
015028,4,5,2016-01-01,2016-01-01,2019-04-01,2019-04-01,indirect,indirect,100.0,0.0,0,1,90–100,0.0,False,False,True
015028,5,6,2019-04-01,2019-04-01,2021-10-01,2021-10-01,indirect,indirect,100.0,0.0,0,1,90–100,0.0,False,False,True
015028,6,7,2021-10-01,2021-10-01,2024-03-01,2024-03-01,indirect,indirect,100.0,0.0,0,1,90–100,0.0,False,False,True
015032,1,2,1994-05-10,1994-05-10,2005-12-02,2005-12-02,indirect,direct,100.0,0.0,0,1,90–100,0.0,False,False,False
015032,2,3,2005-12-02,2005-12-02,2005-12-12,2005-12-12,direct,direct,100.0,0.0,0,1,90–100,0.0,False,False,False
015032,3,4,2005-12-12,2005-12-12,2006-03-15,2006-03-15,direct,indirect,100.0,0.0,0,1,90–100,0.0,False,False,False
015032,4,5,2006-03-15,2006-03-15,2011-05-04,2011-05-04,indirect,direct,100.0,0.0,0,1,90–100,0.0,False,False,False
015032,5,6,2011-05-04,2011-05-04,2011-11-15,2011-11-15,direct,indirect,100.0,0.0,0,1,90–100,0.0,False,False,False
015032,6,7,2011-11-15,2011-11-15,2016-07-01,2016-07-01,indirect,indirect,100.0,0.0,0,1,90–100,0.0,False,False,False
015032,7,8,2016-07-01,2016-07-01,2016-11-01,2016-11-01,indirect,indirect,100.0,0.0,0,1,90–100,0.0,False,False,False
015032,8,9,2016-11-01,2016-11-01,2021-11-19,2021-11-19,indirect,indirect,100.0,0.0,0,1,90–100,0.0,False,False,True
015032,9,10,2021-11-19,2021-11-19,2022-04-04,2022-04-04,indirect,indirect,100.0,0.0,0,1,90–100,0.0,False,False,True
015035,1,2,2003-11-01,2003-11-01,2016-12-31,2016-12-31,direct,indirect,100.0,0.0,0,1,90–100,0.0,False,False,False
015037,1,2,2005-10-01,2005-10-01,2013-10-11,2013-10-11,direct,direct,100.0,0.0,0,1,90–100,0.0,False,False,False
015037,2,3,2013-10-11,2013-10-11,2017-12-01,2017-12-01,direct,direct,100.0,0.0,0,1,90–100,0.0,False,False,True
015037,3,4,2017-12-01,2017-12-01,2019-12-16,2019-12-16,direct,indirect,100.0,0.0,0,1,90–100,0.0,False,False,True
015040,1,2,1994-05-10,1994-05-10,2005-12-02,2005-12-02,indirect,direct,100.0,0.0,0,1,90–100,0.0,False,False,False
015040,2,3,2005-12-02,2005-12-02,2006-01-23,2006-01-23,direct,direct,100.0,0.0,0,1,90–100,0.0,False,False,False
015040,3,4,2006-01-23,2006-01-23,2006-03-15,2006-03-15,direct,direct,100.0,0.0,0,1,90–100,0.0,False,False,False
015040,4,5,2006-03-15,2006-03-15,2016-07-01,2016-07-01,direct,indirect,100.0,0.0,0,1,90–100,0.0,False,False,False
015040,5,6,2016-07-01,2016-07-01,2021-11-19,2021-11-19,indirect,indirect,100.0,0.0,0,1,90–100,0.0,False,False,True
015040,6,7,2021-11-19,2021-11-19,2022-04-04,2022-04-04,indirect,indirect,100.0,0.0,0,1,90–100,0.0,False,False,True
015042,1,2,1999-12-02,1999-12-02,2002-01-01,2002-01-01,indirect,indirect,100.0,0.0,0,1,90–100,0.0,False,False,False
015042,2,3,2002-01-01,2002-01-01,2003-01-01,2003-01-01,indirect,direct,100.0,0.0,0,1,90–100,0.0,False,False,False
015042,3,4,2003-01-01,2003-01-01,2012-12-17,2012-12-17,direct,indirect,100.0,0.0,0,1,90–100,0.0,False,False,False
015042,4,5,2012-12-17,2012-12-17,2012-12-27,2012-12-27,indirect,indirect,100.0,0.0,0,1,90–100,100.0,True,False,False
015042,5,6,2012-12-27,2012-12-27,2013-06-30,2013-06-30,indirect,indirect,100.0,0.0,0,1,90–100,100.0,True,False,False
015043,1,2,2005-10-01,2005-10-01,2013-10-11,2013-10-11,direct,direct,100.0,0.0,0,1,90–100,0.0,False,False,False
015044,1,2,2007-09-28,2007-09-28,2010-07-01,2010-07-01,direct,direct,100.0,0.0,0,1,90–100,0.0,False,False,False
015047,1,2,2003-01-01,2003-01-01,2012-12-27,2012-12-27,indirect,indirect,100.0,0.0,0,1,90–100,0.0,False,False,False
015047,2,3,2012-12-27,2012-12-27,2013-06-30,2013-06-30,indirect,indirect,100.0,0.0,0,1,90–100,100.0,True,False,False
015048,1,2,2007-05-04,2007-05-04,2023-03-24,2023-03-24,direct,indirect,100.0,0.0,0,1,90–100,0.0,False,False,True
015049,1,2,2016-05-01,2016-05-01,2016-05-13,2016-05-13,direct,direct,100.0,0.0,0,1,90–100,0.0,False,False,False
015050,1,2,1986-02-01,1986-02-01,1991-01-01,1991-01-01,direct,direct,100.0,0.0,0,1,90–100,33.3,False,False,False
015050,2,3,1991-01-01,1991-01-01,2022-02-14,2022-02-14,direct,direct,100.0,0.0,0,1,90–100,0.0,False,False,True
015050,3,4,2022-02-14,2022-02-14,2022-05-01,2022-05-01,direct,indirect,100.0,0.0,0,1,90–100,0.0,False,False,True
