cms_certification_number,num_chows_lite,num_chows_mcr,lite_dates,mcr_dates,first_lite_date,first_mcr_date,last_lite_date,last_mcr_date,n_common_exact,n_common_within_1m,match_type,discrepancy_flag,delta_first_months,within_0m,within_1m,jaccard_months,only_in_lite_dates,only_in_mcr_dates
015019,2,0,2021-10|2024-03,,2021-10,,2024-03,,0,0,only_lite,1,,False,False,0.0,2021-10|2024-03,
015024,1,1,2021-11,2022-01,2021-11,2022-01,2021-11,2022-01,0,0,both_yes_different_months,1,-2.0,False,False,0.0,2021-11,2022-01
015028,3,0,2019-04|2021-10|2024-03,,2019-04,,2024-03,,0,0,only_lite,1,,False,False,0.0,2019-04|2021-10|2024-03,
015032,2,1,2021-11|2022-04,2016-11,2021-11,2016-11,2022-04,2016-11,0,0,both_yes_different_months,1,60.0,False,False,0.0,2021-11|2022-04,2016-11
015037,2,2,2017-12|2019-12,2018-04|2019-12,2017-12,2018-04,2019-12,2019-12,1,1,both_yes_different_months,1,-4.0,True,True,0.3333333333333333,2017-12,2018-04
015040,2,1,2021-11|2022-04,2016-11,2021-11,2016-11,2022-04,2016-11,0,0,both_yes_different_months,1,60.0,False,False,0.0,2021-11|2022-04,2016-11
015048,1,0,2023-03,,2023-03,,2023-03,,0,0,only_lite,1,,False,False,0.0,2023-03,
015049,0,1,,2016-05,,2016-05,,2016-05,0,0,only_mcr,1,,False,False,0.0,,2016-05
015050,2,1,2022-02|2022-05,2022-05,2022-02,2022-05,2022-05,2022-05,1,1,both_yes_different_months,1,-3.0,True,True,0.5,2022-02,
015060,1,1,2022-01,2022-05,2022-01,2022-05,2022-01,2022-05,0,0,both_yes_different_months,1,-4.0,False,False,0.0,2022-01,2022-05
015063,2,1,2021-11|2022-04,2016-11,2021-11,2016-11,2022-04,2016-11,0,0,both_yes_different_months,1,60.0,False,False,0.0,2021-11|2022-04,2016-11
015067,2,0,2019-04|2024-03,,2019-04,,2024-03,,0,0,only_lite,1,,False,False,0.0,2019-04|2024-03,
015075,2,1,2020-01|2021-01,2021-01,2020-01,2021-01,2021-01,2021-01,1,1,both_yes_different_months,1,-12.0,True,True,0.5,2020-01,
015084,3,0,2017-02|2021-11|2022-04,,2017-02,,2022-04,,0,0,only_lite,1,,False,False,0.0,2017-02|2021-11|2022-04,
015098,0,1,,2016-07,,2016-07,,2016-07,0,0,only_mcr,1,,False,False,0.0,,2016-07
015104,1,0,2022-07,,2022-07,,2022-07,,0,0,only_lite,1,,False,False,0.0,2022-07,
015111,2,0,2021-11|2022-04,,2021-11,,2022-04,,0,0,only_lite,1,,False,False,0.0,2021-11|2022-04,
