cms_certification_number,association_date,owners,pcts,combo_key
,1952-03-12,CATHOLIC DIOCESE OF SAGINAW | CATHOLIC DIOCESE OF SAGINAW,100% | 100%,CATHOLIC DIOCESE OF SAGINAW | CATHOLIC DIOCESE OF SAGINAW||100% | 100%
,1966-01-01,"BAPTIST CONVALESCENT CENTER, INC. | CITY & COUNTY OF SAN FRANCISCO | HUBBARD COUNTY HERITAGE LIVING CENTER | JOHN T FINLEY INC | MARYCREST MANOR | MISSION INTERESTS COMMITTEE INC | MISSION INTERESTS COMMITTEE OF THE AMISH MENNONITE CHURCHES OF THE UNI | THE BRADLEY HOME | WASON, HARRY",100% | 100% | NO PERCENTAGE PROVIDED | 100% | 100% | 100% | 100% | 100% | 9%,"BAPTIST CONVALESCENT CENTER, INC. | CITY & COUNTY OF SAN FRANCISCO | HUBBARD COUNTY HERITAGE LIVING CENTER | JOHN T FINLEY INC | MARYCREST MANOR | MISSION INTERESTS COMMITTEE INC | MISSION INTERESTS COMMITTEE OF THE AMISH MENNONITE CHURCHES OF THE UNI | THE BRADLEY HOME | WASON, HARRY||100% | 100% | NO PERCENTAGE PROVIDED | 100% | 100% | 100% | 100% | 100% | 9%"
,1966-05-18,BOARD OF TRUSTEES GRAND CHARITY FUNDS IOWA MASONIC NURSING HOME,100%,BOARD OF TRUSTEES GRAND CHARITY FUNDS IOWA MASONIC NURSING HOME||100%
,1966-06-21,WESLEY RETIREMENT SERVICES INC,100%,WESLEY RETIREMENT SERVICES INC||100%
,1966-07-01,HOSPITAL AUTHORITY OF LIBERTY COUNTY,100%,HOSPITAL AUTHORITY OF LIBERTY COUNTY||100%
,1966-12-24,MARTIN LUTHER HOME CORPORATION,100%,MARTIN LUTHER HOME CORPORATION||100%
,1967-01-20,"CHRISTIAN CARE COMMUNITIES, INC | CHRISTIAN CARE COMMUNITIES, INC",100% | 100%,"CHRISTIAN CARE COMMUNITIES, INC | CHRISTIAN CARE COMMUNITIES, INC||100% | 100%"
,1968-03-14,"MANDELBAUM, BRENDA",NO PERCENTAGE PROVIDED,"MANDELBAUM, BRENDA||NO PERCENTAGE PROVIDED"
,1968-12-13,OSCEOLA COMMUNITY HOSPITAL INC,8%,OSCEOLA COMMUNITY HOSPITAL INC||8%
,1969-01-04,INTERSTATE POWER AND LIGHT,6%,INTERSTATE POWER AND LIGHT||6%
,1969-10-01,"EATON, SHIRLEY",100%,"EATON, SHIRLEY||100%"
,1970-07-01,COUNTY OF ALLEGAN,100%,COUNTY OF ALLEGAN||100%
,1971-07-01,VILLAGE OF STUART,100%,VILLAGE OF STUART||100%
,1972-07-03,"GUARDIAN HEALTHCARE OME CORP 99% HOLDCO, INC.",NO PERCENTAGE PROVIDED,"GUARDIAN HEALTHCARE OME CORP 99% HOLDCO, INC.||NO PERCENTAGE PROVIDED"
,1973-05-13,"GROSSMAN, ELIEZER | GROSSMAN, ROSE",50% | 50%,"GROSSMAN, ELIEZER | GROSSMAN, ROSE||50% | 50%"
,1973-12-31,WASHINGTON COUNTY WISCONSIN,100%,WASHINGTON COUNTY WISCONSIN||100%
,1974-07-18,"CZERMAK, CHAIM | CZERMAK, MARVIN | KATZ, ISABELLE | KATZ, MAURICE",50% | 25% | 13% | 13%,"CZERMAK, CHAIM | CZERMAK, MARVIN | KATZ, ISABELLE | KATZ, MAURICE||50% | 25% | 13% | 13%"
,1974-10-01,COLUMBIA MANOR INC,NO PERCENTAGE PROVIDED,COLUMBIA MANOR INC||NO PERCENTAGE PROVIDED
,1975-01-02,"PARKER, JANE",81%,"PARKER, JANE||81%"
,1975-03-06,"SUTTLE, RAYMOND",6%,"SUTTLE, RAYMOND||6%"
,1975-07-01,"MACDONALD, SUSAN",100%,"MACDONALD, SUSAN||100%"
,1975-11-13,"HICKORY POINT CHRISTIAN VILLAGE, INC",5%,"HICKORY POINT CHRISTIAN VILLAGE, INC||5%"
,1975-12-31,COVENANT LIVING COMMUNITIES & SERVICES,100%,COVENANT LIVING COMMUNITIES & SERVICES||100%
,1976-01-06,"PRESTON, FORREST | PRESTON, FORREST",100% | 100%,"PRESTON, FORREST | PRESTON, FORREST||100% | 100%"
,1976-02-26,"KOHN, BARRY | TEMPLE PARK CONVALESCENT HOSPITAL INC.",100% | NO PERCENTAGE PROVIDED,"KOHN, BARRY | TEMPLE PARK CONVALESCENT HOSPITAL INC.||100% | NO PERCENTAGE PROVIDED"
,1976-06-29,SCHUYLER COUNTY NURSING HOME DISTRICT,100%,SCHUYLER COUNTY NURSING HOME DISTRICT||100%
,1977-10-01,"GRAFF, JACOB",100%,"GRAFF, JACOB||100%"
,1978-01-01,UNITED HEALTH SYSTEMS INC.,NO PERCENTAGE PROVIDED,UNITED HEALTH SYSTEMS INC.||NO PERCENTAGE PROVIDED
,1978-03-01,"CHRISTIAN CARE COMMUNITIES, INC",100%,"CHRISTIAN CARE COMMUNITIES, INC||100%"
,1978-07-06,"DESENA, ALLEN",100%,"DESENA, ALLEN||100%"
,1978-11-01,CITY OF LAUREL,100%,CITY OF LAUREL||100%
,1978-11-28,AGNESIAN HEALTHCARE INC,100%,AGNESIAN HEALTHCARE INC||100%
,1979-03-14,FELICIAN SERVICES INC,100%,FELICIAN SERVICES INC||100%
,1979-04-01,"GOINGS, ELWIN | GOINGS, VERNA",33% | 33%,"GOINGS, ELWIN | GOINGS, VERNA||33% | 33%"
,1979-05-01,"SCHURMAN, DANIEL | SCHURMAN, SANDRA",NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED,"SCHURMAN, DANIEL | SCHURMAN, SANDRA||NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED"
,1979-07-07,"WOOLPERT, MARK | WOOLPERT, PATRICIA",NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED,"WOOLPERT, MARK | WOOLPERT, PATRICIA||NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED"
,1980-03-05,MEDICAL FACILITIES OF AMERICA XI LIMITED PARTNERSHIP | MFA XI - CHERRYDALE,NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED,MEDICAL FACILITIES OF AMERICA XI LIMITED PARTNERSHIP | MFA XI - CHERRYDALE||NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED
,1981-08-01,"MONTGOMERY, RICHARD",50%,"MONTGOMERY, RICHARD||50%"
,1981-09-11,"MIDWEST CHRISTIAN VILLAGES, INC.",5%,"MIDWEST CHRISTIAN VILLAGES, INC.||5%"
,1982-07-01,COREWELL HEALTH,100%,COREWELL HEALTH||100%
,1983-01-03,"JUILFS, SALLY | JUILFS, SALLY",45% | NO PERCENTAGE PROVIDED,"JUILFS, SALLY | JUILFS, SALLY||45% | NO PERCENTAGE PROVIDED"
,1983-03-01,"DELAMARTER, HAROLD",NO PERCENTAGE PROVIDED,"DELAMARTER, HAROLD||NO PERCENTAGE PROVIDED"
,1983-03-03,"MURPHY, EVELINA | MURPHY, MICHAEL",50% | 50%,"MURPHY, EVELINA | MURPHY, MICHAEL||50% | 50%"
,1983-03-16,"ZUCKERMAN, YAIR",NO PERCENTAGE PROVIDED,"ZUCKERMAN, YAIR||NO PERCENTAGE PROVIDED"
,1983-03-17,COASTAL HEALTHCARE ALLIANCE | COASTAL HEALTHCARE ALLIANCE,100% | 100%,COASTAL HEALTHCARE ALLIANCE | COASTAL HEALTHCARE ALLIANCE||100% | 100%
,1983-05-05,JOHN C FINLEY TR 05051983 | JOHN C FINLEY TR 05051983,55% | 100%,JOHN C FINLEY TR 05051983 | JOHN C FINLEY TR 05051983||55% | 100%
,1983-12-12,BOTSFORD GENERAL HOSPITAL,100%,BOTSFORD GENERAL HOSPITAL||100%
,1983-12-31,"GOINGS, VERNA",44%,"GOINGS, VERNA||44%"
,1984-02-29,ESKATON PROPERTIES INCORPORATED,100%,ESKATON PROPERTIES INCORPORATED||100%
,1984-05-02,FRIEDMAN LIVING TRUST,100%,FRIEDMAN LIVING TRUST||100%
,1984-06-28,UPMC,NO PERCENTAGE PROVIDED,UPMC||NO PERCENTAGE PROVIDED
,1984-07-01,"LIBERMAN, JOSEPH",13%,"LIBERMAN, JOSEPH||13%"
,1984-07-27,AMERICAN HEALTH COMPANIES LLC,100%,AMERICAN HEALTH COMPANIES LLC||100%
,1984-11-20,RISEN SON CHRISTIAN VILLAGE | RISEN SON CHRISTIAN VILLAGE,5% | 5%,RISEN SON CHRISTIAN VILLAGE | RISEN SON CHRISTIAN VILLAGE||5% | 5%
,1984-12-31,"GADWAY, OREY",100%,"GADWAY, OREY||100%"
,1985-01-24,OAKWOOD HEALTHCARE INC,100%,OAKWOOD HEALTHCARE INC||100%
,1985-04-09,"PRESTON, FORREST",99%,"PRESTON, FORREST||99%"
,1985-07-01,"JUILFS, TIMOTHY | JUILFS, TIMOTHY",45% | NO PERCENTAGE PROVIDED,"JUILFS, TIMOTHY | JUILFS, TIMOTHY||45% | NO PERCENTAGE PROVIDED"
,1985-08-01,"VISLOCKY, GREGORY",30%,"VISLOCKY, GREGORY||30%"
,1985-08-06,REISSMAN FAMILY TRUST,NO PERCENTAGE PROVIDED,REISSMAN FAMILY TRUST||NO PERCENTAGE PROVIDED
,1985-09-06,"SPRING RIVER CHRISTIAN VILLAGE, INC.",5%,"SPRING RIVER CHRISTIAN VILLAGE, INC.||5%"
,1985-10-01,"DELAMARTER, BRIAN | DELAMARTER, HAROLD | PRESTIGE CARE INC | VISLOCKY, GREGORY | VISLOCKY, GREGORY | VISLOCKY, GREGORY",NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED,"DELAMARTER, BRIAN | DELAMARTER, HAROLD | PRESTIGE CARE INC | VISLOCKY, GREGORY | VISLOCKY, GREGORY | VISLOCKY, GREGORY||NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED"
,1985-10-15,"PRESTON, FORREST",49%,"PRESTON, FORREST||49%"
,1986-01-23,ESKATON PROPERTIES INCORPORATED,NO PERCENTAGE PROVIDED,ESKATON PROPERTIES INCORPORATED||NO PERCENTAGE PROVIDED
,1986-01-29,ELIM CARE INC,100%,ELIM CARE INC||100%
,1986-01-31,"DELAMARTER, BRIAN | DELAMARTER, HAROLD | PRESTIGE CARE INC | VISLOCKY, GREGORY",NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED,"DELAMARTER, BRIAN | DELAMARTER, HAROLD | PRESTIGE CARE INC | VISLOCKY, GREGORY||NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED"
,1986-06-25,BERKSHIRE RETIREMENT HOME INC,100%,BERKSHIRE RETIREMENT HOME INC||100%
,1987-08-04,"AUENSON, JOY | EDWARDS, DOUGLAS | EEA COMPANY",NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED,"AUENSON, JOY | EDWARDS, DOUGLAS | EEA COMPANY||NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED"
,1987-09-04,RIVERSIDE HEALTH CARE CENTER,NO PERCENTAGE PROVIDED,RIVERSIDE HEALTH CARE CENTER||NO PERCENTAGE PROVIDED
,1987-10-01,"DELAMARTER, BRIAN | DELAMARTER, HAROLD | VISLOCKY, GREGORY",42% | 28% | NO PERCENTAGE PROVIDED,"DELAMARTER, BRIAN | DELAMARTER, HAROLD | VISLOCKY, GREGORY||42% | 28% | NO PERCENTAGE PROVIDED"
,1987-12-31,"LIGHTNING CREEK INVESTMENT GROUP,INC",NO PERCENTAGE PROVIDED,"LIGHTNING CREEK INVESTMENT GROUP,INC||NO PERCENTAGE PROVIDED"
,1988-06-24,"BENET, BERNHARD | BENET, BERNHARD",57% | NOT APPLICABLE,"BENET, BERNHARD | BENET, BERNHARD||57% | NOT APPLICABLE"
,1988-10-17,"MT VERNON PLACE CARE CENTER, INC.",5%,"MT VERNON PLACE CARE CENTER, INC.||5%"
,1988-11-01,CARON CORPORATION,NO PERCENTAGE PROVIDED,CARON CORPORATION||NO PERCENTAGE PROVIDED
,1988-12-19,"HAMMOND, WILLIAM",40%,"HAMMOND, WILLIAM||40%"
