cms_certification_number,S2_2_CHOWDATE,chow_order
015024,2022-01-01,1
015032,2016-11-01,1
015037,2018-04-01,1
015037,2019-12-16,2
015040,2016-11-01,1
015049,2016-05-13,1
015050,2022-05-01,1
015060,2022-05-01,1
015063,2016-11-01,1
015071,2022-10-01,1
015075,2021-01-01,1
015098,2016-07-01,1
015119,2018-04-01,1
015119,2019-12-16,2
015121,2016-08-01,1
015132,2016-11-01,1
015137,2016-07-01,1
015145,2016-11-01,1
015148,2016-11-01,1
015151,2021-05-01,1
015151,2023-06-20,2
015158,2022-05-13,1
015159,2016-11-01,1
015164,2018-04-01,1
015164,2019-12-16,2
015164,2023-08-25,3
015189,2016-11-01,1
015196,2016-11-01,1
015209,2016-11-01,1
015222,2017-11-01,1
015225,2018-06-30,1
015228,2018-04-01,1
015228,2019-12-16,2
015303,2018-04-01,1
015303,2019-12-16,2
015331,2022-10-01,1
015375,2016-12-01,1
015376,2016-11-01,1
015396,2022-05-13,1
015404,2016-11-01,1
015417,2022-10-01,1
015447,2018-04-01,1
015447,2019-12-16,2
015455,2021-10-19,1
015463,2018-11-06,1
015463,2022-10-27,2
025032,2019-08-01,1
035068,2017-08-31,1
035073,2023-02-01,1
035090,2020-01-01,1
035099,2021-10-31,1
035101,2015-10-31,1
035105,2015-10-31,1
035112,2023-09-01,1
035121,2022-08-01,1
035125,2023-03-01,1
035164,2017-09-01,1
035171,2019-04-30,1
035175,2022-05-31,1
035183,2019-04-30,1
035196,2018-11-01,1
035196,2023-09-01,2
035201,2020-01-01,1
035217,2018-02-01,1
035225,2023-09-01,1
035247,2023-03-01,1
035251,2019-11-01,1
035255,2023-03-01,1
035259,2020-01-01,1
035260,2021-09-01,1
035265,2018-12-31,1
035270,2018-11-01,1
035270,2023-09-01,2
035290,2023-08-01,1
035292,2019-05-01,1
035292,2022-06-30,2
045070,2015-12-01,1
045070,2017-12-28,2
045070,2020-12-14,3
045098,2016-07-01,1
045098,2019-01-22,2
045098,2021-04-04,3
045134,2015-11-30,1
045134,2020-01-01,2
045135,2018-09-01,1
045135,2020-01-01,2
045138,2015-12-01,1
045138,2017-12-28,2
045138,2020-12-14,3
045139,2015-12-01,1
045140,2015-11-30,1
045140,2018-09-01,2
045140,2020-01-01,3
045142,2017-12-28,1
045142,2022-03-31,2
045146,2016-03-31,1
045146,2016-04-01,2
045146,2019-01-22,3
045146,2021-04-04,4
045151,2019-01-01,1
045155,2019-09-01,1
045158,2015-12-31,1
045158,2017-12-28,2
045158,2022-03-31,3
045176,2015-12-01,1
045176,2017-12-28,2
045178,2023-04-01,1
045180,2020-01-01,1
045184,2020-07-01,1
045184,2021-06-30,2
045187,2019-08-01,1
045189,2018-12-27,1
045189,2022-03-31,2
045190,2015-12-01,1
045190,2022-08-31,2
045192,2015-12-01,1
045192,2017-12-28,2
045192,2022-03-31,3
045194,2016-12-31,1
045194,2019-06-30,2
045195,2020-01-01,1
045197,2015-12-01,1
045197,2017-12-28,2
045197,2022-03-31,3
045203,2018-09-01,1
045203,2020-01-01,2
045207,2019-09-01,1
045212,2016-03-31,1
045212,2016-04-01,2
045212,2019-01-22,3
045212,2021-04-04,4
045216,2022-05-16,1
045217,2016-02-01,1
045217,2020-12-31,2
045228,2018-11-01,1
045232,2016-03-31,1
045232,2016-04-01,2
045232,2019-01-22,3
045232,2021-04-04,4
045236,2019-09-01,1
045239,2020-07-01,1
045242,2018-06-30,1
045243,2019-09-01,1
045245,2019-09-01,1
045254,2022-06-01,1
045256,2019-09-01,1
045259,2016-03-31,1
045259,2016-04-01,2
045259,2019-01-22,3
045269,2016-04-01,1
045269,2020-06-15,2
045269,2021-06-15,3
045269,2022-06-01,4
045270,2019-09-01,1
045271,2018-08-01,1
045275,2018-10-01,1
045275,2021-03-21,2
045284,2019-09-01,1
045287,2017-01-01,1
045288,2017-08-01,1
045288,2021-07-01,2
045295,2018-07-01,1
045297,2000-01-01,1
045297,2018-11-01,2
045306,2021-08-16,1
045313,2018-06-30,1
045314,2016-10-01,1
045314,2018-02-01,2
045315,2000-01-01,1
045315,2018-11-01,2
045318,2022-08-01,1
045323,2018-06-30,1
045326,2018-06-30,1
045334,2016-06-01,1
045334,2019-01-22,2
045334,2021-04-04,3
045342,2022-06-01,1
045345,2015-11-01,1
045345,2016-03-31,2
045345,2016-04-01,3
045345,2019-01-22,4
045345,2021-06-30,5
045346,2018-09-01,1
045346,2019-09-01,2
045346,2022-06-01,3
045350,2015-12-01,1
045350,2017-12-28,2
045350,2022-06-30,3
045357,2015-12-01,1
045357,2017-12-28,2
045357,2022-03-31,3
045358,2019-01-01,1
045359,2016-03-31,1
045359,2016-04-01,2
045359,2019-01-22,3
045359,2021-04-04,4
045364,2016-09-30,1
045366,2000-01-01,1
045366,2018-11-01,2
045370,2020-12-31,1
045372,2019-01-22,1
045372,2021-04-04,2
045378,2019-06-30,1
045383,2021-04-01,1
045383,2022-06-01,2
045385,2016-03-31,1
045385,2016-04-01,2
045385,2019-01-22,3
045385,2021-04-04,4
045386,2022-08-15,1
045390,2022-08-15,1
045391,2022-08-15,1
045393,2022-08-15,1
045402,2020-12-31,1
045403,2022-08-31,1
045404,2018-12-31,1
045404,2022-06-01,2
045412,2022-08-15,1
045418,2022-06-01,1
045421,2018-05-31,1
045428,2019-10-01,1
045431,2000-01-01,1
045431,2018-02-01,2
045431,2021-07-01,3
045432,2017-08-01,1
045432,2021-07-01,2
045437,2022-08-31,1
045439,2000-01-01,1
045439,2018-11-01,2
045440,2000-01-01,1
045440,2018-11-01,2
045446,2016-06-01,1
045446,2019-01-22,2
045446,2021-04-04,3
045450,2016-03-31,1
045450,2016-04-01,2
045450,2019-01-22,3
045450,2021-04-04,4
045451,2022-03-31,1
045452,2018-12-31,1
045457,2016-07-02,1
045458,2021-06-26,1
045458,2022-06-01,2
045459,2016-03-01,1
045468,2020-03-27,1
045469,2020-03-27,1
045469,2021-06-15,2
045469,2022-06-01,3
045470,2020-03-27,1
045470,2020-06-15,2
045470,2022-06-01,3
055011,2022-04-18,1
055014,2023-02-01,1
055047,2019-05-16,1
055049,2016-06-01,1
055084,2016-07-01,1
055084,2023-05-25,2
055085,2016-06-01,1
055092,2015-12-16,1
055105,2017-01-11,1
055129,2023-02-01,1
055141,2023-02-01,1
055150,2023-03-01,1
055155,2019-05-31,1
055156,2022-04-01,1
055168,2020-12-31,1
055175,2017-09-01,1
055187,2023-02-01,1
055191,2023-03-01,1
055222,2023-02-01,1
055223,2023-06-15,1
055239,2015-11-02,1
055242,2023-02-01,1
055262,2023-02-01,1
055276,2023-03-01,1
055280,2019-01-01,1
055289,2019-06-01,1
055297,2023-06-30,1
055298,2015-07-20,1
055299,2023-06-29,1
055299,2023-06-30,2
055303,2022-04-01,1
055305,2019-10-01,1
055310,2017-03-01,1
055311,2023-07-01,1
055316,2022-10-01,1
055329,2014-10-01,1
055354,2021-04-01,1
055356,2019-02-15,1
055372,2019-05-01,1
055387,2023-02-01,1
055417,2019-10-01,1
