cms_certification_number,n_chow,is_chow,chow_1_date,chow_2_date,chow_3_date,chow_4_date,chow_5_date
015009,0,0,,,,,
015010,0,0,,,,,
015014,0,0,,,,,
015015,0,0,,,,,
015016,0,0,,,,,
015019,0,0,,,,,
015023,0,0,,,,,
015024,1,1,2022-01-01,,,,
015027,0,0,,,,,
015028,0,0,,,,,
015031,0,0,,,,,
015032,1,1,2016-11-01,,,,
015034,0,0,,,,,
015035,0,0,,,,,
015037,2,1,2018-04-01,2019-12-16,,,
015040,1,1,2016-11-01,,,,
015042,0,0,,,,,
015043,0,0,,,,,
015044,0,0,,,,,
015045,0,0,,,,,
015047,0,0,,,,,
015048,0,0,,,,,
015049,1,1,2016-05-13,,,,
015050,1,1,2022-05-01,,,,
015053,0,0,,,,,
015060,1,1,2022-05-01,,,,
015063,1,1,2016-11-01,,,,
015065,0,0,,,,,
015066,0,0,,,,,
015067,0,0,,,,,
015071,1,1,2022-10-01,,,,
015073,0,0,,,,,
015075,1,1,2021-01-01,,,,
015076,0,0,,,,,
015083,0,0,,,,,
015084,0,0,,,,,
015089,0,0,,,,,
015091,0,0,,,,,
015097,0,0,,,,,
015098,1,1,2016-07-01,,,,
015100,0,0,,,,,
015101,0,0,,,,,
015103,0,0,,,,,
015104,0,0,,,,,
015109,0,0,,,,,
015111,0,0,,,,,
015112,0,0,,,,,
015113,0,0,,,,,
015114,0,0,,,,,
015115,0,0,,,,,
015116,0,0,,,,,
015117,0,0,,,,,
015119,2,1,2018-04-01,2019-12-16,,,
015120,0,0,,,,,
015121,1,1,2016-08-01,,,,
015126,0,0,,,,,
015127,0,0,,,,,
015128,0,0,,,,,
015129,0,0,,,,,
015131,0,0,,,,,
015132,1,1,2016-11-01,,,,
015133,0,0,,,,,
015134,0,0,,,,,
015135,0,0,,,,,
015136,0,0,,,,,
015137,1,1,2016-07-01,,,,
015138,0,0,,,,,
015139,0,0,,,,,
015141,0,0,,,,,
015142,0,0,,,,,
015143,0,0,,,,,
015144,0,0,,,,,
015145,1,1,2016-11-01,,,,
015147,0,0,,,,,
015148,1,1,2016-11-01,,,,
015149,0,0,,,,,
015151,2,1,2021-05-01,2023-06-20,,,
015152,0,0,,,,,
015153,0,0,,,,,
015155,0,0,,,,,
015156,0,0,,,,,
015157,0,0,,,,,
015158,1,1,2022-05-13,,,,
015159,1,1,2016-11-01,,,,
015160,0,0,,,,,
015162,0,0,,,,,
015163,0,0,,,,,
015164,3,1,2018-04-01,2019-12-16,2023-08-25,,
015166,0,0,,,,,
015168,0,0,,,,,
015169,0,0,,,,,
015171,0,0,,,,,
015174,0,0,,,,,
015175,0,0,,,,,
015176,0,0,,,,,
015177,0,0,,,,,
015179,0,0,,,,,
015180,0,0,,,,,
015182,0,0,,,,,
015183,0,0,,,,,
015184,0,0,,,,,
015186,0,0,,,,,
015187,0,0,,,,,
015188,0,0,,,,,
015189,1,1,2016-11-01,,,,
015191,0,0,,,,,
015192,0,0,,,,,
015193,0,0,,,,,
015194,0,0,,,,,
015195,0,0,,,,,
015196,1,1,2016-11-01,,,,
015197,0,0,,,,,
015199,0,0,,,,,
015200,0,0,,,,,
015201,0,0,,,,,
015202,0,0,,,,,
015203,0,0,,,,,
015204,0,0,,,,,
015206,0,0,,,,,
015207,0,0,,,,,
015208,0,0,,,,,
015209,1,1,2016-11-01,,,,
015210,0,0,,,,,
015211,0,0,,,,,
015212,0,0,,,,,
015213,0,0,,,,,
015214,0,0,,,,,
015216,0,0,,,,,
015217,0,0,,,,,
015220,0,0,,,,,
015221,0,0,,,,,
015222,1,1,2017-11-01,,,,
015223,0,0,,,,,
015225,1,1,2018-06-30,,,,
015227,0,0,,,,,
015228,2,1,2018-04-01,2019-12-16,,,
015303,2,1,2018-04-01,2019-12-16,,,
015315,0,0,,,,,
015320,0,0,,,,,
015321,0,0,,,,,
015322,0,0,,,,,
015326,0,0,,,,,
015330,0,0,,,,,
015331,1,1,2022-10-01,,,,
015336,0,0,,,,,
015361,0,0,,,,,
015369,0,0,,,,,
015371,0,0,,,,,
015372,0,0,,,,,
015373,0,0,,,,,
015374,0,0,,,,,
015375,1,1,2016-12-01,,,,
015376,1,1,2016-11-01,,,,
015378,0,0,,,,,
015379,0,0,,,,,
015381,0,0,,,,,
015382,0,0,,,,,
015383,0,0,,,,,
015386,0,0,,,,,
015388,0,0,,,,,
015390,0,0,,,,,
015391,0,0,,,,,
015392,0,0,,,,,
015393,0,0,,,,,
015396,1,1,2022-05-13,,,,
015397,0,0,,,,,
015398,0,0,,,,,
015400,0,0,,,,,
015402,0,0,,,,,
015403,0,0,,,,,
015404,1,1,2016-11-01,,,,
015406,0,0,,,,,
015407,0,0,,,,,
015408,0,0,,,,,
015411,0,0,,,,,
015413,0,0,,,,,
015414,0,0,,,,,
015415,0,0,,,,,
015416,0,0,,,,,
015417,1,1,2022-10-01,,,,
015419,0,0,,,,,
015420,0,0,,,,,
015422,0,0,,,,,
015423,0,0,,,,,
015424,0,0,,,,,
015425,0,0,,,,,
015426,0,0,,,,,
015429,0,0,,,,,
015431,0,0,,,,,
015433,0,0,,,,,
015434,0,0,,,,,
015435,0,0,,,,,
015436,0,0,,,,,
015437,0,0,,,,,
015440,0,0,,,,,
015442,0,0,,,,,
015443,0,0,,,,,
015445,0,0,,,,,
015446,0,0,,,,,
015447,2,1,2018-04-01,2019-12-16,,,
015448,0,0,,,,,
015450,0,0,,,,,
015451,0,0,,,,,
015452,0,0,,,,,
015453,0,0,,,,,
015454,0,0,,,,,
015455,1,1,2021-10-19,,,,
015456,0,0,,,,,
015457,0,0,,,,,
015458,0,0,,,,,
015459,0,0,,,,,
015460,0,0,,,,,
015461,0,0,,,,,
015462,0,0,,,,,
015463,2,1,2018-11-06,2022-10-27,,,
015464,0,0,,,,,
015465,0,0,,,,,
015467,0,0,,,,,
015468,0,0,,,,,
015469,0,0,,,,,
025018,0,0,,,,,
025025,0,0,,,,,
025027,0,0,,,,,
025032,1,1,2019-08-01,,,,
025035,0,0,,,,,
025036,0,0,,,,,
025037,0,0,,,,,
025038,0,0,,,,,
025039,0,0,,,,,
035003,0,0,,,,,
035004,0,0,,,,,
035014,0,0,,,,,
035016,0,0,,,,,
035059,0,0,,,,,
035062,0,0,,,,,
035064,0,0,,,,,
035068,1,1,2017-08-31,,,,
035070,0,0,,,,,
035071,0,0,,,,,
035072,0,0,,,,,
035073,1,1,2023-02-01,,,,
035074,0,0,,,,,
035076,0,0,,,,,
035083,0,0,,,,,
035084,0,0,,,,,
035085,0,0,,,,,
035086,0,0,,,,,
035087,0,0,,,,,
035088,0,0,,,,,
035090,1,1,2020-01-01,,,,
035091,0,0,,,,,
035092,0,0,,,,,
035093,0,0,,,,,
035094,0,0,,,,,
035095,0,0,,,,,
035096,0,0,,,,,
035097,0,0,,,,,
035099,1,1,2021-10-31,,,,
035100,0,0,,,,,
035101,1,1,2015-10-31,,,,
035103,0,0,,,,,
035105,1,1,2015-10-31,,,,
035106,0,0,,,,,
035107,0,0,,,,,
035110,0,0,,,,,
035111,0,0,,,,,
035112,1,1,2023-09-01,,,,
035114,0,0,,,,,
035116,0,0,,,,,
035117,0,0,,,,,
035118,0,0,,,,,
035120,0,0,,,,,
035121,1,1,2022-08-01,,,,
035125,1,1,2023-03-01,,,,
035126,0,0,,,,,
035127,0,0,,,,,
035130,0,0,,,,,
035131,0,0,,,,,
035132,0,0,,,,,
035133,0,0,,,,,
035134,0,0,,,,,
035135,0,0,,,,,
035136,0,0,,,,,
035137,0,0,,,,,
035139,0,0,,,,,
035140,0,0,,,,,
035141,0,0,,,,,
035143,0,0,,,,,
035144,0,0,,,,,
035145,0,0,,,,,
035146,0,0,,,,,
035147,0,0,,,,,
035151,0,0,,,,,
035152,0,0,,,,,
035154,0,0,,,,,
035158,0,0,,,,,
035159,0,0,,,,,
035164,1,1,2017-09-01,,,,
035165,0,0,,,,,
035166,0,0,,,,,
035169,0,0,,,,,
035171,1,1,2019-04-30,,,,
035172,0,0,,,,,
035173,0,0,,,,,
035174,0,0,,,,,
035175,1,1,2022-05-31,,,,
035176,0,0,,,,,
035180,0,0,,,,,
035183,1,1,2019-04-30,,,,
035189,0,0,,,,,
035190,0,0,,,,,
035192,0,0,,,,,
035193,0,0,,,,,
035196,2,1,2018-11-01,2023-09-01,,,
035197,0,0,,,,,
035199,0,0,,,,,
035201,1,1,2020-01-01,,,,
035205,0,0,,,,,
035207,0,0,,,,,
035214,0,0,,,,,
035216,0,0,,,,,
035217,1,1,2018-02-01,,,,
035225,1,1,2023-09-01,,,,
035231,0,0,,,,,
035232,0,0,,,,,
035233,0,0,,,,,
035234,0,0,,,,,
035240,0,0,,,,,
035241,0,0,,,,,
035242,0,0,,,,,
035243,0,0,,,,,
035244,0,0,,,,,
035245,0,0,,,,,
035247,1,1,2023-03-01,,,,
035249,0,0,,,,,
035250,0,0,,,,,
035251,1,1,2019-11-01,,,,
035253,0,0,,,,,
035254,0,0,,,,,
035255,1,1,2023-03-01,,,,
035256,0,0,,,,,
035257,0,0,,,,,
035258,0,0,,,,,
035259,1,1,2020-01-01,,,,
035260,1,1,2021-09-01,,,,
035261,0,0,,,,,
035262,0,0,,,,,
035263,0,0,,,,,
035264,0,0,,,,,
035265,1,1,2018-12-31,,,,
035266,0,0,,,,,
035267,0,0,,,,,
035268,0,0,,,,,
035270,2,1,2018-11-01,2023-09-01,,,
035272,0,0,,,,,
035273,0,0,,,,,
035274,0,0,,,,,
035275,0,0,,,,,
035276,0,0,,,,,
035277,0,0,,,,,
035279,0,0,,,,,
035280,0,0,,,,,
035281,0,0,,,,,
035282,0,0,,,,,
035283,0,0,,,,,
035284,0,0,,,,,
035285,0,0,,,,,
035286,0,0,,,,,
035288,0,0,,,,,
035289,0,0,,,,,
035290,1,1,2023-08-01,,,,
035291,0,0,,,,,
035292,2,1,2019-05-01,2022-06-30,,,
035293,0,0,,,,,
035294,0,0,,,,,
035295,0,0,,,,,
035296,0,0,,,,,
035297,0,0,,,,,
035298,0,0,,,,,
035299,0,0,,,,,
035300,0,0,,,,,
035302,0,0,,,,,
045070,3,1,2015-12-01,2017-12-28,2020-12-14,,
045098,3,1,2016-07-01,2019-01-22,2021-04-04,,
045125,0,0,,,,,
045134,2,1,2015-11-30,2020-01-01,,,
045135,2,1,2018-09-01,2020-01-01,,,
045138,3,1,2015-12-01,2017-12-28,2020-12-14,,
045139,1,1,2015-12-01,,,,
045140,3,1,2015-11-30,2018-09-01,2020-01-01,,
045142,2,1,2017-12-28,2022-03-31,,,
045143,0,0,,,,,
045144,0,0,,,,,
045146,4,1,2016-03-31,2016-04-01,2019-01-22,2021-04-04,
045147,0,0,,,,,
045148,0,0,,,,,
045149,0,0,,,,,
045151,1,1,2019-01-01,,,,
045153,0,0,,,,,
045155,1,1,2019-09-01,,,,
045157,0,0,,,,,
045158,3,1,2015-12-31,2017-12-28,2022-03-31,,
045163,0,0,,,,,
045165,0,0,,,,,
045166,0,0,,,,,
045167,0,0,,,,,
045168,0,0,,,,,
045170,0,0,,,,,
045172,0,0,,,,,
045173,0,0,,,,,
045176,2,1,2015-12-01,2017-12-28,,,
045177,0,0,,,,,
045178,1,1,2023-04-01,,,,
045180,1,1,2020-01-01,,,,
045181,0,0,,,,,
045182,0,0,,,,,
045183,0,0,,,,,
045184,2,1,2020-07-01,2021-06-30,,,
045187,1,1,2019-08-01,,,,
045189,2,1,2018-12-27,2022-03-31,,,
045190,2,1,2015-12-01,2022-08-31,,,
045191,0,0,,,,,
045192,3,1,2015-12-01,2017-12-28,2022-03-31,,
045194,2,1,2016-12-31,2019-06-30,,,
045195,1,1,2020-01-01,,,,
045196,0,0,,,,,
045197,3,1,2015-12-01,2017-12-28,2022-03-31,,
045199,0,0,,,,,
045201,0,0,,,,,
045202,0,0,,,,,
045203,2,1,2018-09-01,2020-01-01,,,
045207,1,1,2019-09-01,,,,
045208,0,0,,,,,
045209,0,0,,,,,
045211,0,0,,,,,
045212,4,1,2016-03-31,2016-04-01,2019-01-22,2021-04-04,
045214,0,0,,,,,
045216,1,1,2022-05-16,,,,
045217,2,1,2016-02-01,2020-12-31,,,
045218,0,0,,,,,
045219,0,0,,,,,
045220,0,0,,,,,
045221,0,0,,,,,
045222,0,0,,,,,
045227,0,0,,,,,
045228,1,1,2018-11-01,,,,
045229,0,0,,,,,
045232,4,1,2016-03-31,2016-04-01,2019-01-22,2021-04-04,
045235,0,0,,,,,
045236,1,1,2019-09-01,,,,
045239,1,1,2020-07-01,,,,
045241,0,0,,,,,
045242,1,1,2018-06-30,,,,
045243,1,1,2019-09-01,,,,
045244,0,0,,,,,
045245,1,1,2019-09-01,,,,
045246,0,0,,,,,
045247,0,0,,,,,
045248,0,0,,,,,
045250,0,0,,,,,
045254,1,1,2022-06-01,,,,
045256,1,1,2019-09-01,,,,
045259,3,1,2016-03-31,2016-04-01,2019-01-22,,
045266,0,0,,,,,
045267,0,0,,,,,
045268,0,0,,,,,
045269,4,1,2016-04-01,2020-06-15,2021-06-15,2022-06-01,
045270,1,1,2019-09-01,,,,
045271,1,1,2018-08-01,,,,
045275,2,1,2018-10-01,2021-03-21,,,
045277,0,0,,,,,
045280,0,0,,,,,
045284,1,1,2019-09-01,,,,
045287,1,1,2017-01-01,,,,
045288,2,1,2017-08-01,2021-07-01,,,
045289,0,0,,,,,
045290,0,0,,,,,
045295,1,1,2018-07-01,,,,
045297,2,1,2000-01-01,2018-11-01,,,
045300,0,0,,,,,
045301,0,0,,,,,
045302,0,0,,,,,
045303,0,0,,,,,
045304,0,0,,,,,
045305,0,0,,,,,
045306,1,1,2021-08-16,,,,
045308,0,0,,,,,
045311,0,0,,,,,
045312,0,0,,,,,
045313,1,1,2018-06-30,,,,
045314,2,1,2016-10-01,2018-02-01,,,
045315,2,1,2000-01-01,2018-11-01,,,
045317,0,0,,,,,
045318,1,1,2022-08-01,,,,
045321,0,0,,,,,
045322,0,0,,,,,
045323,1,1,2018-06-30,,,,
045326,1,1,2018-06-30,,,,
045327,0,0,,,,,
045332,0,0,,,,,
045334,3,1,2016-06-01,2019-01-22,2021-04-04,,
045337,0,0,,,,,
045338,0,0,,,,,
045339,0,0,,,,,
045340,0,0,,,,,
045341,0,0,,,,,
045342,1,1,2022-06-01,,,,
045343,0,0,,,,,
045345,5,1,2015-11-01,2016-03-31,2016-04-01,2019-01-22,2021-06-30
045346,3,1,2018-09-01,2019-09-01,2022-06-01,,
045348,0,0,,,,,
045350,3,1,2015-12-01,2017-12-28,2022-06-30,,
045351,0,0,,,,,
045352,0,0,,,,,
045353,0,0,,,,,
045354,0,0,,,,,
045356,0,0,,,,,
045357,3,1,2015-12-01,2017-12-28,2022-03-31,,
045358,1,1,2019-01-01,,,,
045359,4,1,2016-03-31,2016-04-01,2019-01-22,2021-04-04,
045361,0,0,,,,,
045363,0,0,,,,,
045364,1,1,2016-09-30,,,,
045366,2,1,2000-01-01,2018-11-01,,,
045367,0,0,,,,,
045369,0,0,,,,,
045370,1,1,2020-12-31,,,,
045371,0,0,,,,,
045372,2,1,2019-01-22,2021-04-04,,,
045373,0,0,,,,,
045374,0,0,,,,,
045376,0,0,,,,,
045377,0,0,,,,,
045378,1,1,2019-06-30,,,,
045379,0,0,,,,,
045380,0,0,,,,,
045381,0,0,,,,,
045382,0,0,,,,,
045383,2,1,2021-04-01,2022-06-01,,,
045384,0,0,,,,,
045385,4,1,2016-03-31,2016-04-01,2019-01-22,2021-04-04,
045386,1,1,2022-08-15,,,,
045387,0,0,,,,,
045390,1,1,2022-08-15,,,,
045391,1,1,2022-08-15,,,,
045392,0,0,,,,,
045393,1,1,2022-08-15,,,,
045394,0,0,,,,,
045396,0,0,,,,,
045398,0,0,,,,,
045401,0,0,,,,,
045402,1,1,2020-12-31,,,,
045403,1,1,2022-08-31,,,,
045404,2,1,2018-12-31,2022-06-01,,,
045406,0,0,,,,,
045407,0,0,,,,,
045408,0,0,,,,,
045409,0,0,,,,,
045410,0,0,,,,,
045411,0,0,,,,,
045412,1,1,2022-08-15,,,,
045413,0,0,,,,,
045416,0,0,,,,,
045417,0,0,,,,,
045418,1,1,2022-06-01,,,,
045419,0,0,,,,,
045421,1,1,2018-05-31,,,,
045422,0,0,,,,,
045424,0,0,,,,,
045425,0,0,,,,,
045427,0,0,,,,,
045428,1,1,2019-10-01,,,,
045430,0,0,,,,,
045431,3,1,2000-01-01,2018-02-01,2021-07-01,,
045432,2,1,2017-08-01,2021-07-01,,,
045433,0,0,,,,,
045434,0,0,,,,,
045435,0,0,,,,,
045436,0,0,,,,,
045437,1,1,2022-08-31,,,,
045438,0,0,,,,,
045439,2,1,2000-01-01,2018-11-01,,,
045440,2,1,2000-01-01,2018-11-01,,,
045441,0,0,,,,,
045442,0,0,,,,,
045443,0,0,,,,,
045445,0,0,,,,,
045446,3,1,2016-06-01,2019-01-22,2021-04-04,,
045447,0,0,,,,,
045448,0,0,,,,,
045449,0,0,,,,,
045450,4,1,2016-03-31,2016-04-01,2019-01-22,2021-04-04,
045451,1,1,2022-03-31,,,,
045452,1,1,2018-12-31,,,,
045453,0,0,,,,,
045454,0,0,,,,,
045455,0,0,,,,,
045456,0,0,,,,,
045457,1,1,2016-07-02,,,,
045458,2,1,2021-06-26,2022-06-01,,,
045459,1,1,2016-03-01,,,,
045460,0,0,,,,,
045462,0,0,,,,,
045463,0,0,,,,,
045464,0,0,,,,,
045465,0,0,,,,,
045466,0,0,,,,,
045467,0,0,,,,,
045468,1,1,2020-03-27,,,,
045469,3,1,2020-03-27,2021-06-15,2022-06-01,,
045470,3,1,2020-03-27,2020-06-15,2022-06-01,,
045471,0,0,,,,,
045474,0,0,,,,,
045476,0,0,,,,,
045477,0,0,,,,,
055001,0,0,,,,,
055002,0,0,,,,,
055003,0,0,,,,,
055008,0,0,,,,,
055011,1,1,2022-04-18,,,,
055013,0,0,,,,,
055014,1,1,2023-02-01,,,,
055016,0,0,,,,,
055017,0,0,,,,,
055022,0,0,,,,,
055028,0,0,,,,,
055032,0,0,,,,,
055036,0,0,,,,,
055039,0,0,,,,,
055041,0,0,,,,,
055042,0,0,,,,,
055045,0,0,,,,,
055047,1,1,2019-05-16,,,,
055049,1,1,2016-06-01,,,,
055052,0,0,,,,,
055056,0,0,,,,,
055060,0,0,,,,,
055064,0,0,,,,,
055067,0,0,,,,,
055070,0,0,,,,,
055072,0,0,,,,,
055076,0,0,,,,,
055077,0,0,,,,,
055078,0,0,,,,,
055079,0,0,,,,,
055084,2,1,2016-07-01,2023-05-25,,,
055085,1,1,2016-06-01,,,,
055092,1,1,2015-12-16,,,,
055093,0,0,,,,,
055099,0,0,,,,,
055104,0,0,,,,,
055105,1,1,2017-01-11,,,,
055107,0,0,,,,,
055109,0,0,,,,,
055111,0,0,,,,,
055114,0,0,,,,,
055115,0,0,,,,,
055116,0,0,,,,,
055119,0,0,,,,,
055121,0,0,,,,,
055123,0,0,,,,,
055126,0,0,,,,,
055129,1,1,2023-02-01,,,,
055135,0,0,,,,,
055136,0,0,,,,,
055139,0,0,,,,,
055141,1,1,2023-02-01,,,,
055142,0,0,,,,,
055146,0,0,,,,,
055147,0,0,,,,,
055150,1,1,2023-03-01,,,,
055153,0,0,,,,,
055155,1,1,2019-05-31,,,,
055156,1,1,2022-04-01,,,,
055157,0,0,,,,,
055160,0,0,,,,,
055161,0,0,,,,,
055162,0,0,,,,,
055163,0,0,,,,,
055167,0,0,,,,,
055168,1,1,2020-12-31,,,,
055170,0,0,,,,,
055173,0,0,,,,,
055175,1,1,2017-09-01,,,,
055181,0,0,,,,,
055182,0,0,,,,,
055183,0,0,,,,,
055185,0,0,,,,,
055187,1,1,2023-02-01,,,,
055188,0,0,,,,,
055189,0,0,,,,,
055191,1,1,2023-03-01,,,,
055192,0,0,,,,,
055196,0,0,,,,,
055199,0,0,,,,,
055201,0,0,,,,,
055202,0,0,,,,,
055203,0,0,,,,,
055204,0,0,,,,,
055206,0,0,,,,,
055208,0,0,,,,,
055210,0,0,,,,,
055211,0,0,,,,,
055212,0,0,,,,,
055213,0,0,,,,,
055215,0,0,,,,,
055222,1,1,2023-02-01,,,,
055223,1,1,2023-06-15,,,,
055237,0,0,,,,,
055239,1,1,2015-11-02,,,,
055240,0,0,,,,,
055241,0,0,,,,,
055242,1,1,2023-02-01,,,,
055247,0,0,,,,,
055249,0,0,,,,,
055252,0,0,,,,,
055253,0,0,,,,,
055255,0,0,,,,,
055259,0,0,,,,,
055261,0,0,,,,,
055262,1,1,2023-02-01,,,,
055268,0,0,,,,,
055271,0,0,,,,,
055276,1,1,2023-03-01,,,,
055280,1,1,2019-01-01,,,,
055282,0,0,,,,,
055286,0,0,,,,,
055287,0,0,,,,,
055288,0,0,,,,,
055289,1,1,2019-06-01,,,,
055292,0,0,,,,,
055293,0,0,,,,,
055296,0,0,,,,,
055297,1,1,2023-06-30,,,,
055298,1,1,2015-07-20,,,,
055299,2,1,2023-06-29,2023-06-30,,,
055303,1,1,2022-04-01,,,,
055304,0,0,,,,,
055305,1,1,2019-10-01,,,,
055307,0,0,,,,,
055308,0,0,,,,,
055310,1,1,2017-03-01,,,,
055311,1,1,2023-07-01,,,,
055315,0,0,,,,,
055316,1,1,2022-10-01,,,,
055318,0,0,,,,,
055322,0,0,,,,,
055328,0,0,,,,,
055329,1,1,2014-10-01,,,,
055330,0,0,,,,,
055331,0,0,,,,,
055334,0,0,,,,,
055335,0,0,,,,,
055338,0,0,,,,,
055341,0,0,,,,,
055342,0,0,,,,,
055344,0,0,,,,,
055350,0,0,,,,,
055353,0,0,,,,,
055354,1,1,2021-04-01,,,,
055356,1,1,2019-02-15,,,,
055360,0,0,,,,,
055361,0,0,,,,,
055364,0,0,,,,,
055367,0,0,,,,,
055372,1,1,2019-05-01,,,,
055374,0,0,,,,,
055376,0,0,,,,,
055387,1,1,2023-02-01,,,,
055388,0,0,,,,,
055394,0,0,,,,,
055401,0,0,,,,,
055402,0,0,,,,,
055407,0,0,,,,,
055408,0,0,,,,,
055409,0,0,,,,,
055410,0,0,,,,,
055412,0,0,,,,,
055417,1,1,2019-10-01,,,,
055423,0,0,,,,,
055430,0,0,,,,,
055434,1,1,2023-03-01,,,,
055435,1,1,2018-08-30,,,,
055438,1,1,2023-06-22,,,,
055441,0,0,,,,,
055443,0,0,,,,,
055446,0,0,,,,,
055448,0,0,,,,,
055449,0,0,,,,,
055454,2,1,2021-04-09,2021-11-01,,,
055457,0,0,,,,,
055459,0,0,,,,,
055461,0,0,,,,,
055464,0,0,,,,,
055466,0,0,,,,,
055473,0,0,,,,,
055474,0,0,,,,,
055475,0,0,,,,,
055476,0,0,,,,,
055480,0,0,,,,,
055481,0,0,,,,,
055488,0,0,,,,,
055489,1,1,2022-03-01,,,,
055491,1,1,2020-03-20,,,,
055493,0,0,,,,,
055494,1,1,2016-06-01,,,,
055497,0,0,,,,,
055499,0,0,,,,,
055500,0,0,,,,,
055504,0,0,,,,,
055505,0,0,,,,,
055507,0,0,,,,,
055508,0,0,,,,,
055510,0,0,,,,,
055512,0,0,,,,,
055516,0,0,,,,,
055517,0,0,,,,,
055518,0,0,,,,,
055519,0,0,,,,,
055523,0,0,,,,,
055525,0,0,,,,,
055526,0,0,,,,,
055527,0,0,,,,,
055531,1,1,2019-09-30,,,,
055534,0,0,,,,,
055538,0,0,,,,,
055539,0,0,,,,,
055540,0,0,,,,,
055541,0,0,,,,,
055542,0,0,,,,,
055544,1,1,2020-01-31,,,,
055548,0,0,,,,,
055551,0,0,,,,,
055557,1,1,2021-07-01,,,,
055559,0,0,,,,,
055562,1,1,2019-10-01,,,,
055563,0,0,,,,,
055565,0,0,,,,,
055566,0,0,,,,,
055568,1,1,2023-06-15,,,,
055570,0,0,,,,,
055571,0,0,,,,,
055573,0,0,,,,,
055575,0,0,,,,,
055581,0,0,,,,,
055585,0,0,,,,,
055597,0,0,,,,,
055598,0,0,,,,,
055601,0,0,,,,,
055604,0,0,,,,,
055608,1,1,2015-12-01,,,,
055612,0,0,,,,,
055617,0,0,,,,,
055619,0,0,,,,,
055622,0,0,,,,,
055626,0,0,,,,,
055632,0,0,,,,,
055635,0,0,,,,,
055640,0,0,,,,,
055645,0,0,,,,,
055646,0,0,,,,,
055649,0,0,,,,,
055650,0,0,,,,,
055653,1,1,2023-03-23,,,,
055656,0,0,,,,,
055658,0,0,,,,,
055662,0,0,,,,,
055664,0,0,,,,,
055670,0,0,,,,,
055671,0,0,,,,,
055674,0,0,,,,,
055677,0,0,,,,,
055681,0,0,,,,,
055684,0,0,,,,,
055685,0,0,,,,,
055689,0,0,,,,,
055693,0,0,,,,,
055697,0,0,,,,,
055698,0,0,,,,,
055704,0,0,,,,,
055706,0,0,,,,,
055707,0,0,,,,,
055708,0,0,,,,,
055710,0,0,,,,,
055711,0,0,,,,,
055715,0,0,,,,,
055718,0,0,,,,,
055719,0,0,,,,,
055728,1,1,2023-05-31,,,,
055733,0,0,,,,,
055734,0,0,,,,,
055735,0,0,,,,,
055737,0,0,,,,,
055739,1,1,2023-03-01,,,,
055742,0,0,,,,,
055744,0,0,,,,,
055748,1,1,2021-02-28,,,,
055750,1,1,2019-10-07,,,,
055753,0,0,,,,,
055755,0,0,,,,,
055756,0,0,,,,,
055758,0,0,,,,,
055760,0,0,,,,,
055761,0,0,,,,,
055764,0,0,,,,,
055775,0,0,,,,,
055776,0,0,,,,,
055795,0,0,,,,,
055797,0,0,,,,,
055798,0,0,,,,,
055799,1,1,2021-04-09,,,,
055800,0,0,,,,,
055806,0,0,,,,,
055807,0,0,,,,,
055809,0,0,,,,,
055816,0,0,,,,,
055817,0,0,,,,,
055818,0,0,,,,,
055826,0,0,,,,,
055830,0,0,,,,,
055833,0,0,,,,,
055839,0,0,,,,,
055845,1,1,2022-07-31,,,,
055846,0,0,,,,,
