cms_certification_number,num_chows,cnt_bucket0,cnt_bucket1,cnt_bucket2,cnt_bucket3,cnt_bucket4,cnt_bucket5,cnt_bucket6_inconcl,first_seen_month,entered_after_start,present_at_start,chow_date_1,chow_magnitude_1,chow_method_1,chow_inconcl_1,chow_date_2,chow_magnitude_2,chow_method_2,chow_inconcl_2,chow_date_3,chow_magnitude_3,chow_method_3,chow_inconcl_3,chow_date_4,chow_magnitude_4,chow_method_4,chow_inconcl_4,chow_date_5,chow_magnitude_5,chow_method_5,chow_inconcl_5,chow_date_6,chow_magnitude_6,chow_method_6,chow_inconcl_6,chow_date_7,chow_magnitude_7,chow_method_7,chow_inconcl_7,chow_date_8,chow_magnitude_8,chow_method_8,chow_inconcl_8,chow_date_9,chow_magnitude_9,chow_method_9,chow_inconcl_9,chow_date_10,chow_magnitude_10,chow_method_10,chow_inconcl_10,chow_date_11,chow_magnitude_11,chow_method_11,chow_inconcl_11,chow_date_12,chow_magnitude_12,chow_method_12,chow_inconcl_12
015012,1,0,1,0,0,0,0,0,1967-01-01,False,True,2021-10-01,100.0,1.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
015019,2,0,2,0,0,0,0,0,2015-02-02,False,True,2021-10-01,100.0,1.0,False,2024-03-01,100.0,1.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
015024,1,0,1,0,0,0,0,0,2009-11-09,False,True,2021-11-08,100.0,1.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
015028,3,0,3,0,0,0,0,0,2009-02-15,False,True,2019-04-01,100.0,1.0,False,2021-10-01,100.0,1.0,False,2024-03-01,100.0,1.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
015032,2,0,2,0,0,0,0,0,1994-05-10,False,True,2021-11-19,100.0,1.0,False,2022-04-04,100.0,1.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
015037,2,0,2,0,0,0,0,0,2005-10-01,False,True,2017-12-01,100.0,1.0,False,2019-12-16,100.0,1.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
015040,2,0,2,0,0,0,0,0,1994-05-10,False,True,2021-11-19,100.0,1.0,False,2022-04-04,100.0,1.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
015048,1,0,1,0,0,0,0,0,2007-05-04,False,True,2023-03-24,100.0,0.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
015050,2,0,2,0,0,0,0,0,1986-02-01,False,True,2022-02-14,100.0,1.0,False,2022-05-01,100.0,0.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
015060,1,0,1,0,0,0,0,0,2012-10-01,False,True,2022-01-27,100.0,0.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
015063,2,0,2,0,0,0,0,0,1994-05-10,False,True,2021-11-19,100.0,1.0,False,2022-04-01,100.0,1.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
015067,2,0,2,0,0,0,0,0,2009-02-15,False,True,2019-04-01,100.0,1.0,False,2024-03-01,100.0,1.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
015071,1,0,1,0,0,0,0,0,2013-12-23,False,True,2022-10-01,100.0,1.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
015075,2,0,2,0,0,0,0,0,2009-10-19,False,True,2020-01-01,100.0,1.0,False,2021-01-01,100.0,0.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
015084,3,0,3,0,0,0,0,0,2003-11-21,False,True,2017-02-21,100.0,0.0,False,2021-11-19,100.0,1.0,False,2022-04-04,100.0,1.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
015104,1,0,1,0,0,0,0,0,2004-01-01,False,True,2022-07-01,100.0,1.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
015111,2,0,2,0,0,0,0,0,1996-10-10,False,True,2021-11-19,100.0,1.0,False,2022-04-04,100.0,1.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
015113,2,0,2,0,0,0,0,0,2009-02-15,False,True,2019-04-01,100.0,1.0,False,2024-03-01,100.0,1.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
015114,1,0,1,0,0,0,0,0,1971-01-01,False,True,2018-05-18,100.0,1.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
015115,1,0,0,1,0,0,0,0,2002-07-03,False,True,2017-08-31,83.5,0.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
015116,1,0,1,0,0,0,0,0,2014-06-01,False,True,2018-05-08,100.0,1.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
015119,3,0,3,0,0,0,0,0,2005-10-01,False,True,2017-12-01,100.0,0.0,False,2019-12-16,100.0,0.0,False,2023-08-25,100.0,0.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
015127,3,0,3,0,0,0,0,0,1992-08-14,False,True,2021-11-19,100.0,1.0,False,2022-04-04,100.0,1.0,False,2023-03-01,100.0,1.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
015132,2,0,2,0,0,0,0,0,1994-05-10,False,True,2021-11-19,100.0,1.0,False,2022-04-04,100.0,1.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
015133,2,0,2,0,0,0,0,0,2009-02-15,False,True,2019-04-01,100.0,1.0,False,2024-03-01,100.0,1.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
015136,1,0,1,0,0,0,0,0,1997-07-01,False,True,2023-03-24,100.0,0.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
015137,1,0,1,0,0,0,0,0,2016-05-20,False,True,2022-05-01,100.0,0.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
015139,1,0,1,0,0,0,0,0,2002-10-08,False,True,2019-09-30,100.0,0.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
015143,1,0,1,0,0,0,0,0,2014-03-15,False,True,2019-01-01,100.0,0.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
015144,4,0,4,0,0,0,0,0,2014-01-01,False,True,2018-05-01,100.0,0.0,False,2021-09-15,100.0,0.0,False,2021-10-25,100.0,0.0,False,2023-08-02,100.0,0.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
015145,2,0,2,0,0,0,0,0,1994-05-10,False,True,2021-11-19,100.0,1.0,False,2022-04-04,100.0,1.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
015147,2,0,2,0,0,0,0,0,2014-07-14,False,True,2019-04-01,100.0,1.0,False,2024-03-01,100.0,1.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
015148,2,0,2,0,0,0,0,0,1994-05-10,False,True,2021-11-19,100.0,1.0,False,2022-04-04,100.0,1.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
015151,3,0,3,0,0,0,0,0,2013-06-01,False,True,2018-09-01,100.0,1.0,False,2021-05-01,100.0,1.0,False,2023-06-20,100.0,1.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
015152,1,0,1,0,0,0,0,0,2007-10-01,False,True,2024-07-01,100.0,1.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
015157,1,0,1,0,0,0,0,0,2007-10-23,False,True,2023-03-24,100.0,0.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
015158,1,0,1,0,0,0,0,0,2020-03-01,True,False,2022-05-13,100.0,0.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
015159,2,0,2,0,0,0,0,0,1994-05-10,False,True,2021-11-19,100.0,1.0,False,2022-04-04,100.0,1.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
015164,3,0,3,0,0,0,0,0,2008-11-01,False,True,2018-04-01,100.0,1.0,False,2019-12-16,100.0,1.0,False,2023-08-25,100.0,0.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
015171,1,0,1,0,0,0,0,0,1994-10-17,False,True,2018-04-30,100.0,1.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
015180,1,0,1,0,0,0,0,0,2003-10-09,False,True,2023-11-20,100.0,1.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
015184,1,0,1,0,0,0,0,0,2011-01-26,False,True,2022-05-01,100.0,0.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
015189,2,0,2,0,0,0,0,0,1994-05-10,False,True,2021-11-19,100.0,1.0,False,2022-04-04,100.0,1.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
015196,2,0,2,0,0,0,0,0,1994-05-10,False,True,2021-11-19,100.0,1.0,False,2022-04-04,100.0,1.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
015206,1,0,1,0,0,0,0,0,2009-12-08,False,True,2023-03-24,100.0,0.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
