cms_certification_number,num_chows,had_chow,chow_date_1,chow_date_2,chow_date_3,chow_date_4,chow_date_5,chow_date_6,chow_date_7,chow_date_8,chow_date_9,chow_date_10,chow_date_11,chow_date_12
015012,1,True,2021-10-01,,,,,,,,,,,
015019,2,True,2021-10-01,2024-03-01,,,,,,,,,,
015024,1,True,2021-11-08,,,,,,,,,,,
015028,3,True,2019-04-01,2021-10-01,2024-03-01,,,,,,,,,
015032,2,True,2021-11-19,2022-04-04,,,,,,,,,,
015037,2,True,2017-12-01,2019-12-16,,,,,,,,,,
015040,2,True,2021-11-19,2022-04-04,,,,,,,,,,
015048,1,True,2023-03-24,,,,,,,,,,,
015050,2,True,2022-02-14,2022-05-01,,,,,,,,,,
015060,1,True,2022-01-27,,,,,,,,,,,
015063,2,True,2021-11-19,2022-04-01,,,,,,,,,,
015067,2,True,2019-04-01,2024-03-01,,,,,,,,,,
015071,1,True,2022-10-01,,,,,,,,,,,
015075,2,True,2020-01-01,2021-01-01,,,,,,,,,,
015084,3,True,2017-02-21,2021-11-19,2022-04-04,,,,,,,,,
015104,1,True,2022-07-01,,,,,,,,,,,
015111,2,True,2021-11-19,2022-04-04,,,,,,,,,,
015113,2,True,2019-04-01,2024-03-01,,,,,,,,,,
015114,1,True,2018-05-18,,,,,,,,,,,
015115,1,True,2017-08-31,,,,,,,,,,,
015116,1,True,2018-05-08,,,,,,,,,,,
015119,3,True,2017-12-01,2019-12-16,2023-08-25,,,,,,,,,
015127,3,True,2021-11-19,2022-04-04,2023-03-01,,,,,,,,,
015132,2,True,2021-11-19,2022-04-04,,,,,,,,,,
015133,2,True,2019-04-01,2024-03-01,,,,,,,,,,
015136,1,True,2023-03-24,,,,,,,,,,,
015137,1,True,2022-05-01,,,,,,,,,,,
015139,1,True,2019-09-30,,,,,,,,,,,
015143,1,True,2019-01-01,,,,,,,,,,,
015144,4,True,2018-05-01,2021-09-15,2021-10-25,2023-08-02,,,,,,,,
015145,2,True,2021-11-19,2022-04-04,,,,,,,,,,
015147,2,True,2019-04-01,2024-03-01,,,,,,,,,,
015148,2,True,2021-11-19,2022-04-04,,,,,,,,,,
015151,3,True,2018-09-01,2021-05-01,2023-06-20,,,,,,,,,
015152,1,True,2024-07-01,,,,,,,,,,,
015157,1,True,2023-03-24,,,,,,,,,,,
015158,1,True,2022-05-13,,,,,,,,,,,
015159,2,True,2021-11-19,2022-04-04,,,,,,,,,,
