cms_certification_number,months_removed,months_kept,all_removed
015010,10,68,False
015012,51,33,False
015045,25,71,False
015123,97,2,False
015124,97,2,False
015150,94,2,False
015154,97,2,False
015167,94,2,False
015178,5,52,False
015215,94,2,False
015410,77,4,False
015420,31,59,False
015452,74,19,False
025010,91,2,False
025015,23,1,False
025019,47,1,False
025020,91,2,False
025021,97,2,False
025024,33,21,False
025026,3,12,False
025027,9,87,False
025028,59,1,False
025030,1,2,False
025031,43,2,False
025032,23,67,False
025034,36,0,True
025035,15,12,False
025037,23,43,False
035121,64,35,False
035287,63,15,False
035301,32,4,False
045145,24,0,True
045198,18,0,True
045307,12,0,True
045365,83,16,False
045414,97,2,False
045452,3,87,False
045461,6,0,True
055008,59,40,False
055034,25,74,False
055074,90,9,False
055169,94,2,False
055256,76,2,False
055258,47,37,False
055283,88,2,False
055462,97,2,False
056155,94,2,False
056200,94,2,False
056245,97,2,False
056311,34,62,False
056416,80,10,False
056426,82,2,False
056443,33,0,True
056479,91,5,False
056499,97,2,False
05A198,33,0,True
05A213,18,0,True
05A292,73,14,False
05A311,18,0,True
05A357,62,34,False
065187,65,4,False
065214,6,15,False
065264,12,63,False
065271,2,10,False
065383,57,15,False
06A050,13,11,False
06A185,92,4,False
075109,8,88,False
075135,62,34,False
075293,88,2,False
075329,81,15,False
075382,19,74,False
095024,41,55,False
095027,85,11,False
095030,91,2,False
095034,45,54,False
095039,29,1,False
105158,26,73,False
105912,83,1,False
105961,76,2,False
106055,91,2,False
106082,21,0,True
106101,24,33,False
106105,91,2,False
106107,9,0,True
106109,94,2,False
106113,73,2,False
106122,70,5,False
106125,57,3,False
115039,97,2,False
115040,11,85,False
115099,94,2,False
115106,66,33,False
115258,89,10,False
115262,91,2,False
115264,47,52,False
115265,12,84,False
115266,94,2,False
115271,82,2,False
115272,19,77,False
115277,97,2,False
115429,97,2,False
115478,11,82,False
115480,21,75,False
115487,96,3,False
115513,97,2,False
115525,64,2,False
115568,91,2,False
115586,94,2,False
115603,97,2,False
115610,94,2,False
115635,12,87,False
115640,29,13,False
115645,65,1,False
115649,85,2,False
115655,91,2,False
115665,83,16,False
115675,76,20,False
115683,3,93,False
115684,94,2,False
115695,97,2,False
115701,88,8,False
115702,91,2,False
115704,94,2,False
115707,91,2,False
115711,95,1,False
115712,20,73,False
115713,79,14,False
115714,64,35,False
115721,87,9,False
115776,12,3,False
11A200,6,33,False
125002,56,40,False
125003,94,2,False
125010,52,44,False
125015,65,1,False
125021,64,2,False
125023,6,0,True
125026,33,66,False
125028,9,0,True
125029,91,2,False
125031,41,1,False
125032,77,16,False
135004,97,2,False
135006,52,44,False
135007,83,1,False
135059,91,2,False
135060,32,1,False
135062,97,2,False
135064,97,2,False
135066,97,2,False
135070,92,1,False
135111,84,3,False
135114,3,0,True
135119,12,0,True
145102,23,73,False
145309,18,60,False
145314,6,0,True
145464,61,38,False
145499,49,47,False
145526,59,25,False
145541,22,14,False
145548,53,40,False
145552,61,26,False
145562,6,0,True
145564,22,11,False
145566,12,0,True
145568,41,25,False
145572,51,42,False
145573,16,23,False
145579,20,46,False
145580,20,1,False
145583,39,6,False
145599,9,0,True
145643,44,49,False
145690,3,0,True
145703,11,85,False
145743,33,60,False
145843,12,81,False
145848,31,44,False
145951,11,34,False
145966,22,2,False
145979,55,44,False
146014,42,54,False
146049,21,66,False
146129,22,17,False
146140,31,62,False
146150,25,11,False
146196,6,6,False
14A453,10,44,False
155005,20,73,False
155042,12,87,False
155136,15,84,False
155166,14,85,False
155202,31,68,False
155211,3,96,False
155267,15,84,False
155271,15,78,False
155278,12,87,False
155304,48,51,False
155305,78,12,False
155322,11,85,False
155356,13,26,False
155358,11,82,False
155373,20,34,False
155376,10,83,False
155446,20,79,False
155482,39,57,False
155490,13,86,False
155495,12,87,False
155503,13,86,False
155510,2,94,False
155516,17,10,False
155542,35,61,False
155551,2,94,False
155637,14,82,False
155668,28,71,False
155669,20,10,False
155682,19,80,False
155684,14,85,False
155685,13,86,False
155693,8,91,False
155724,73,26,False
155765,44,1,False
155767,4,95,False
155780,12,84,False
155782,15,84,False
155795,66,33,False
155797,7,92,False
155808,10,89,False
155819,10,89,False
155822,27,72,False
155831,13,74,False
155832,52,47,False
155837,26,73,False
155848,21,54,False
155851,23,70,False
155857,15,24,False
15E064,12,72,False
165046,27,0,True
165110,97,2,False
165116,27,0,True
165119,5,10,False
165130,27,0,True
165147,85,2,False
165157,15,84,False
165176,74,1,False
165183,97,2,False
165389,12,87,False
165619,26,61,False
165620,74,1,False
165796,3,12,False
16E016,79,20,False
16E050,96,3,False
16E071,73,2,False
16E118,6,0,True
16E170,96,3,False
16E176,67,2,False
16E182,18,0,True
16E263,96,3,False
16E277,70,26,False
16E637,97,2,False
16E638,97,2,False
16E668,88,2,False
16E681,38,1,False
16E718,97,2,False
16E728,74,1,False
175116,9,0,True
175130,61,29,False
175146,6,0,True
175151,95,1,False
175159,62,28,False
175163,21,0,True
175169,8,19,False
175240,25,71,False
175244,94,2,False
175496,38,10,False
175505,97,2,False
175518,6,0,True
175552,19,38,False
175554,88,8,False
17A019,24,9,False
17A020,82,17,False
17A029,97,2,False
17E011,18,6,False
17E015,31,2,False
17E026,58,41,False
17E071,90,6,False
17E183,68,7,False
17E242,47,46,False
17E294,51,3,False
17E356,62,1,False
17E384,26,1,False
17E424,89,7,False
17E445,94,2,False
17E470,76,23,False
17E473,28,44,False
17E531,87,3,False
17E546,79,2,False
17E577,94,2,False
17E597,13,59,False
17E613,32,7,False
17E619,24,0,True
17E625,76,2,False
17E627,9,0,True
185005,87,12,False
185008,82,2,False
185131,14,82,False
185157,91,2,False
185172,13,86,False
185190,38,1,False
185210,26,73,False
185285,70,20,False
185325,33,57,False
185328,94,2,False
185361,97,2,False
185387,91,2,False
185394,97,2,False
185395,3,0,True
185396,73,2,False
185407,91,2,False
185422,36,9,False
185427,33,63,False
185428,68,1,False
185430,17,1,False
185475,15,0,True
185480,38,1,False
195139,91,2,False
195150,9,87,False
195159,38,1,False
195180,88,2,False
195185,3,0,True
195199,85,2,False
195213,97,2,False
195610,56,22,False
195617,60,36,False
195621,85,2,False
195622,31,68,False
195639,47,4,False
195641,32,1,False
195643,11,13,False
205012,70,26,False
205018,91,2,False
205053,38,58,False
205099,26,70,False
205158,77,1,False
205164,6,0,True
205172,8,7,False
205176,78,18,False
215110,85,2,False
215283,77,10,False
215289,9,0,True
215291,77,1,False
215310,91,2,False
215314,68,1,False
225692,53,1,False
225758,6,0,True
225759,76,14,False
225774,70,20,False
225778,34,65,False
225783,33,66,False
225784,39,12,False
235006,82,2,False
235041,85,14,False
235051,80,1,False
235074,90,3,False
235075,97,2,False
235143,97,2,False
235150,91,2,False
235161,56,1,False
235192,97,2,False
235201,68,25,False
235205,80,13,False
235295,85,14,False
235373,34,56,False
235381,20,55,False
235407,91,2,False
235460,94,2,False
235472,97,2,False
235481,22,77,False
235523,82,11,False
235567,97,2,False
235577,97,2,False
235585,74,25,False
235624,79,17,False
235705,43,53,False
235708,8,85,False
235713,53,1,False
23E362,68,1,False
245045,74,7,False
245114,12,87,False
245127,81,15,False
245170,50,46,False
245212,57,36,False
245218,53,46,False
245228,46,53,False
245231,21,78,False
245232,72,18,False
245238,61,38,False
245240,12,72,False
245241,74,1,False
245243,67,32,False
245244,22,77,False
245247,50,40,False
245251,56,10,False
245253,66,33,False
245263,97,2,False
245265,75,18,False
245274,3,0,True
245341,73,26,False
245357,49,50,False
245382,50,49,False
245384,91,2,False
245392,32,67,False
245396,80,19,False
245410,90,9,False
245416,75,21,False
245420,97,2,False
245428,88,2,False
245433,89,10,False
245451,91,8,False
245454,1,86,False
245458,63,24,False
245467,97,2,False
245469,85,2,False
245470,55,44,False
245485,88,11,False
245486,90,9,False
245487,83,13,False
245511,29,70,False
245512,74,25,False
245519,86,13,False
245529,44,55,False
245580,70,23,False
245616,65,34,False
255050,67,26,False
255072,70,2,False
255130,97,2,False
255137,97,2,False
255163,10,89,False
255168,97,2,False
255220,17,19,False
255230,71,1,False
255306,33,60,False
255317,3,0,True
255331,55,38,False
255333,14,82,False
255335,91,2,False
255346,45,45,False
255349,47,1,False
255350,14,1,False
25A156,33,0,True
25A174,87,9,False
25A178,91,2,False
25A188,88,2,False
25A190,55,41,False
25A233,91,5,False
25A374,52,26,False
25A380,94,2,False
25A389,59,40,False
25A414,94,2,False
25A422,24,57,False
265289,91,2,False
265327,97,2,False
265414,4,92,False
265429,91,2,False
265561,89,1,False
265725,27,0,True
265842,91,2,False
265845,83,1,False
26A300,6,0,True
26A381,20,1,False
26A469,83,1,False
26A494,15,0,True
26E421,3,3,False
275012,92,7,False
275061,12,81,False
275065,94,2,False
275067,58,14,False
275070,42,33,False
275071,3,0,True
275072,94,2,False
275085,9,0,True
275093,91,5,False
275106,54,18,False
275107,88,2,False
275109,97,2,False
275112,72,21,False
275116,30,0,True
275119,54,45,False
275121,62,37,False
285004,97,2,False
