cms_certification_number,months_removed
015010,10
015012,51
015045,25
015123,97
015124,97
015150,94
015154,97
015167,94
015178,5
015215,94
015410,77
015420,31
015452,74
025010,91
025015,23
025019,47
025020,91
025021,97
025024,33
025026,3
025027,9
025028,59
025030,1
025031,43
025032,23
025034,36
025035,15
025037,23
035121,64
035287,63
035301,32
045145,24
045198,18
045307,12
045365,83
045414,97
045452,3
045461,6
055008,59
055034,25
055074,90
055169,94
055256,76
055258,47
055283,88
055462,97
056155,94
056200,94
056245,97
056311,34
056416,80
056426,82
056443,33
056479,91
056499,97
05A198,33
05A213,18
05A292,73
05A311,18
05A357,62
065187,65
065214,6
065264,12
065271,2
065383,57
06A050,13
06A185,92
075109,8
075135,62
075293,88
075329,81
075382,19
095024,41
095027,85
095030,91
095034,45
095039,29
105158,26
105912,83
105961,76
106055,91
106082,21
106101,24
106105,91
106107,9
106109,94
106113,73
106122,70
106125,57
115039,97
115040,11
115099,94
115106,66
115258,89
115262,91
115264,47
115265,12
115266,94
115271,82
115272,19
115277,97
115429,97
115478,11
115480,21
115487,96
115513,97
115525,64
115568,91
115586,94
115603,97
115610,94
115635,12
115640,29
115645,65
115649,85
115655,91
115665,83
115675,76
115683,3
115684,94
115695,97
115701,88
115702,91
115704,94
115707,91
115711,95
115712,20
115713,79
115714,64
115721,87
115776,12
11A200,6
125002,56
125003,94
125010,52
125015,65
125021,64
125023,6
125026,33
125028,9
125029,91
125031,41
125032,77
135004,97
135006,52
135007,83
135059,91
135060,32
135062,97
135064,97
135066,97
135070,92
135111,84
135114,3
135119,12
145102,23
145309,18
145314,6
145464,61
145499,49
145526,59
145541,22
145548,53
145552,61
145562,6
145564,22
145566,12
145568,41
145572,51
145573,16
145579,20
145580,20
145583,39
145599,9
145643,44
145690,3
145703,11
145743,33
145843,12
145848,31
145951,11
145966,22
145979,55
146014,42
146049,21
146129,22
146140,31
146150,25
146196,6
14A453,10
155005,20
155042,12
155136,15
155166,14
155202,31
155211,3
155267,15
155271,15
155278,12
155304,48
155305,78
155322,11
155356,13
155358,11
155373,20
155376,10
155446,20
155482,39
155490,13
155495,12
155503,13
155510,2
155516,17
155542,35
155551,2
155637,14
155668,28
155669,20
155682,19
155684,14
155685,13
155693,8
155724,73
155765,44
155767,4
155780,12
155782,15
155795,66
155797,7
155808,10
155819,10
155822,27
155831,13
155832,52
155837,26
155848,21
155851,23
155857,15
15E064,12
165046,27
165110,97
165116,27
165119,5
165130,27
165147,85
165157,15
165176,74
165183,97
165389,12
165619,26
165620,74
165796,3
16E016,79
16E050,96
16E071,73
16E118,6
16E170,96
16E176,67
16E182,18
16E263,96
16E277,70
16E637,97
16E638,97
16E668,88
16E681,38
16E718,97
16E728,74
175116,9
175130,61
175146,6
175151,95
175159,62
175163,21
175169,8
175240,25
175244,94
175496,38
175505,97
175518,6
175552,19
175554,88
17A019,24
17A020,82
17A029,97
17E011,18
17E015,31
17E026,58
17E071,90
17E183,68
17E242,47
17E294,51
17E356,62
17E384,26
17E424,89
17E445,94
17E470,76
17E473,28
17E531,87
17E546,79
17E577,94
17E597,13
17E613,32
17E619,24
17E625,76
17E627,9
185005,87
185008,82
185131,14
185157,91
185172,13
185190,38
185210,26
185285,70
185325,33
185328,94
185361,97
185387,91
185394,97
185395,3
185396,73
185407,91
185422,36
185427,33
185428,68
185430,17
185475,15
185480,38
