cms_certification_number,first_month,last_month,months_observed,months_expected,months_missing,has_gaps
015009,2017-01,2025-03,78,99,21,True
015010,2018-10,2025-03,78,78,0,False
015012,2017-01,2025-03,84,99,15,True
015014,2017-07,2025-03,84,93,9,True
015015,2017-01,2025-03,99,99,0,False
015016,2017-01,2025-03,96,99,3,True
015019,2017-01,2025-03,99,99,0,False
015023,2017-01,2025-03,90,99,9,True
015024,2017-01,2025-03,96,99,3,True
015027,2017-01,2025-03,93,99,6,True
015028,2017-01,2025-03,99,99,0,False
015031,2017-01,2025-03,96,99,3,True
015032,2017-01,2025-03,99,99,0,False
015034,2017-01,2025-03,96,99,3,True
015035,2017-01,2025-03,99,99,0,False
015037,2017-01,2021-12,57,60,3,True
015040,2017-01,2025-03,99,99,0,False
015042,2017-01,2025-03,96,99,3,True
015043,2017-01,2017-06,6,6,0,False
015044,2017-07,2025-03,87,93,6,True
015045,2017-01,2025-03,96,99,3,True
015047,2017-01,2025-03,96,99,3,True
015048,2017-01,2025-03,99,99,0,False
015049,2017-01,2025-03,96,99,3,True
015050,2017-01,2025-03,99,99,0,False
015053,2017-01,2025-03,99,99,0,False
015060,2017-01,2025-03,99,99,0,False
015063,2017-01,2025-03,99,99,0,False
015065,2017-01,2025-03,96,99,3,True
015066,2017-01,2025-03,99,99,0,False
015067,2017-01,2025-03,99,99,0,False
015071,2017-01,2025-03,99,99,0,False
015073,2017-01,2025-03,99,99,0,False
015075,2017-01,2025-03,99,99,0,False
015076,2017-01,2025-03,96,99,3,True
015083,2017-01,2025-03,96,99,3,True
015084,2017-01,2025-03,99,99,0,False
015089,2017-01,2025-03,99,99,0,False
015091,2017-01,2025-03,96,99,3,True
015097,2017-01,2025-03,93,99,6,True
015098,2017-01,2025-03,96,99,3,True
015100,2017-01,2025-03,99,99,0,False
015101,2017-01,2025-03,96,99,3,True
015103,2017-01,2025-03,96,99,3,True
015104,2017-01,2024-12,93,96,3,True
015109,2017-01,2025-03,96,99,3,True
015111,2017-01,2025-03,99,99,0,False
015112,2017-01,2025-03,99,99,0,False
015113,2017-01,2025-03,99,99,0,False
015114,2017-01,2025-03,96,99,3,True
015115,2017-01,2025-03,96,99,3,True
015116,2017-01,2025-03,99,99,0,False
015117,2017-01,2025-03,96,99,3,True
015119,2017-01,2025-03,96,99,3,True
015120,2017-01,2025-03,99,99,0,False
015121,2017-01,2025-03,99,99,0,False
015123,2017-01,2025-03,99,99,0,False
015124,2017-01,2025-03,99,99,0,False
015126,2017-01,2025-03,96,99,3,True
015127,2017-01,2025-03,99,99,0,False
015128,2017-01,2025-03,99,99,0,False
015129,2017-01,2025-03,99,99,0,False
015132,2017-01,2025-03,99,99,0,False
015133,2017-01,2025-03,99,99,0,False
015134,2017-01,2025-03,96,99,3,True
015135,2017-01,2025-03,96,99,3,True
